Threads,time_seconds,Time,Energy,CO2eq,travelled
2,47.405369,0:00:47,0.0020,0.9395,0.0087
4,35.302779,0:00:35,0.0014,0.6761,0.0063
6,32.863813,0:00:33,0.0012,0.5854,0.0054
8,31.566234,0:00:32,0.0013,0.5943,0.0055
10,30.568414,0:00:31,0.0013,0.6362,0.0059
12,31.059865,0:00:31,0.0014,0.6449,0.0060
14,30.507510,0:00:31,0.0014,0.6651,0.0062
16,30.123984,0:00:30,0.0013,0.6019,0.0056
18,29.682708,0:00:30,0.0014,0.6463,0.0060
20,30.416226,0:00:30,0.0013,0.6247,0.0058
22,30.890353,0:00:31,0.0013,0.6375,0.0059
24,30.935238,0:00:31,0.0014,0.6434,0.0060
26,30.485279,0:00:30,0.0013,0.6291,0.0059
28,31.190580,0:00:31,0.0014,0.6454,0.0060
30,32.814440,0:00:33,0.0014,0.6790,0.0063
32,31.452418,0:00:31,0.0014,0.6480,0.0060
34,33.424354,0:00:33,0.0015,0.6895,0.0064
36,31.871912,0:00:32,0.0014,0.6680,0.0062
38,33.083333,0:00:33,0.0015,0.6918,0.0064
40,32.907223,0:00:33,0.0014,0.6860,0.0064
42,33.460638,0:00:33,0.0015,0.7012,0.0065
44,34.131273,0:00:34,0.0016,0.7583,0.0071
46,34.371072,0:00:34,0.0016,0.7830,0.0073
48,34.487397,0:00:34,0.0018,0.8381,0.0078
50,34.711938,0:00:35,0.0019,0.8966,0.0083
52,33.925695,0:00:34,0.0016,0.7690,0.0072
54,34.414245,0:00:34,0.0021,0.9911,0.0092
56,35.664674,0:00:36,0.0020,0.9642,0.0090
58,34.325482,0:00:34,0.0021,1.0121,0.0094
60,34.704772,0:00:35,0.0023,1.0868,0.0101
62,35.820754,0:00:36,0.0021,1.0114,0.0094
64,34.393269,0:00:34,0.0022,1.0569,0.0098
66,35.321856,0:00:35,0.0022,1.0510,0.0098
68,35.243149,0:00:35,0.0022,1.0506,0.0098
70,34.761539,0:00:35,0.0024,1.1298,0.0105
72,36.194803,0:00:36,0.0022,1.0565,0.0098
74,35.270844,0:00:35,0.0022,1.0496,0.0098
76,35.186437,0:00:35,0.0022,1.0408,0.0097
78,37.111676,0:00:37,0.0024,1.1334,0.0105
80,36.426173,0:00:36,0.0022,1.0357,0.0096
82,36.301819,0:00:36,0.0021,1.0209,0.0095
84,35.362187,0:00:35,0.0021,0.9774,0.0091
86,35.718191,0:00:36,0.0020,0.9290,0.0086
88,35.269092,0:00:35,0.0020,0.9338,0.0087
