Threads,time_seconds,Time,Energy,CO2eq,travelled
2,108.80,0:01:49,0.0044,2.1098,0.0196
4,65.10,0:01:05,0.0030,1.4137,0.0132
6,50.52,0:00:51,0.0025,1.1744,0.0109
8,40.80,0:00:41,0.0021,1.0008,0.0093
10,36.62,0:00:37,0.0020,0.9534,0.0089
12,35.01,0:00:35,0.0020,0.9560,0.0089
14,32.14,0:00:32,0.0019,0.9004,0.0084
16,31.81,0:00:32,0.0019,0.9195,0.0086
18,31.03,0:00:31,0.0019,0.9226,0.0086
20,28.53,0:00:29,0.0019,0.8790,0.0082
22,29.00,0:00:29,0.0020,0.9268,0.0086
24,30.68,0:00:31,0.0021,1.0040,0.0093
26,31.38,0:00:31,0.0022,1.0441,0.0097
28,30.88,0:00:31,0.0022,1.0652,0.0099
30,31.58,0:00:32,0.0023,1.1110,0.0103
32,31.62,0:00:32,0.0024,1.1624,0.0108
34,32.55,0:00:33,0.0025,1.2032,0.0112
36,32.60,0:00:33,0.0026,1.2269,0.0114
38,35.25,0:00:35,0.0029,1.3769,0.0128
40,35.51,0:00:36,0.0030,1.4127,0.0131
42,36.79,0:00:37,0.0032,1.5071,0.0140
44,37.33,0:00:37,0.0033,1.5573,0.0145
46,38.90,0:00:39,0.0034,1.6329,0.0152
48,41.93,0:00:42,0.0037,1.7668,0.0164
50,39.83,0:00:40,0.0036,1.6934,0.0158
52,41.31,0:00:41,0.0037,1.7528,0.0163
54,41.60,0:00:42,0.0038,1.7931,0.0167
56,42.46,0:00:42,0.0039,1.8465,0.0172
58,42.62,0:00:43,0.0039,1.8753,0.0174
60,43.12,0:00:43,0.0040,1.9047,0.0177
62,44.50,0:00:45,0.0042,1.9747,0.0184
64,43.04,0:00:43,0.0041,1.9366,0.0180
66,45.77,0:00:46,0.0043,2.0590,0.0192
68,46.51,0:00:47,0.0044,2.1073,0.0196
70,49.21,0:00:49,0.0047,2.2222,0.0207
72,46.88,0:00:47,0.0045,2.1237,0.0198
74,46.91,0:00:47,0.0045,2.1518,0.0200
76,48.64,0:00:49,0.0047,2.2349,0.0208
78,49.70,0:00:50,0.0048,2.2915,0.0213
80,51.80,0:00:52,0.0050,2.3817,0.0222
82,52.39,0:00:52,0.0051,2.4221,0.0225
84,52.78,0:00:53,0.0051,2.4363,0.0227
86,55.28,0:00:55,0.0054,2.5701,0.0239
88,57.26,0:00:57,0.0056,2.6437,0.0246
