Threads,time_seconds,Time,Energy,CO2eq,travelled
2,436.82,0:07:20,0.0175,8.3320,0.0775
4,248.52,0:04:11,0.0110,5.2405,0.0487
6,179.27,0:03:01,0.0085,4.0598,0.0378
8,143.05,0:02:24,0.0072,3.4064,0.0317
10,121.01,0:02:02,0.0063,3.0112,0.0280
12,108.69,0:01:50,0.0061,2.8838,0.0268
14,95.52,0:01:36,0.0057,2.6850,0.0250
16,84.03,0:01:25,0.0053,2.5299,0.0235
18,76.77,0:01:17,0.0051,2.4274,0.0226
20,71.11,0:01:12,0.0050,2.3599,0.0220
22,69.18,0:01:10,0.0050,2.3524,0.0219
24,62.66,0:01:03,0.0048,2.2946,0.0213
26,58.88,0:00:59,0.0047,2.2421,0.0209
28,55.19,0:00:56,0.0046,2.1619,0.0201
30,50.45,0:00:51,0.0043,2.0482,0.0191
32,47.47,0:00:48,0.0042,1.9973,0.0186
34,47.09,0:00:48,0.0042,2.0111,0.0187
36,45.42,0:00:46,0.0041,1.9673,0.0183
38,41.27,0:00:42,0.0040,1.9035,0.0177
40,37.74,0:00:38,0.0039,1.8481,0.0172
42,37.75,0:00:38,0.0039,1.8662,0.0174
44,37.39,0:00:38,0.0039,1.8698,0.0174
46,47.55,0:00:48,0.0044,2.0729,0.0193
48,47.95,0:00:48,0.0043,2.0654,0.0192
50,48.57,0:00:49,0.0044,2.0682,0.0192
52,48.65,0:00:49,0.0044,2.0919,0.0195
54,42.73,0:00:43,0.0042,1.9744,0.0184
56,42.42,0:00:43,0.0042,1.9830,0.0184
58,38.30,0:00:39,0.0040,1.9082,0.0178
60,38.63,0:00:39,0.0040,1.9179,0.0178
62,39.11,0:00:39,0.0040,1.9229,0.0179
64,39.93,0:00:40,0.0041,1.9381,0.0180
66,40.94,0:00:41,0.0041,1.9495,0.0181
68,40.94,0:00:41,0.0041,1.9640,0.0183
70,40.65,0:00:41,0.0041,1.9609,0.0182
72,40.08,0:00:40,0.0041,1.9596,0.0182
74,39.24,0:00:40,0.0041,1.9471,0.0181
76,38.66,0:00:39,0.0041,1.9427,0.0181
78,37.70,0:00:38,0.0041,1.9290,0.0179
80,32.18,0:00:33,0.0037,1.7789,0.0165
82,32.11,0:00:32,0.0038,1.7877,0.0166
84,32.11,0:00:32,0.0038,1.8023,0.0168
86,31.98,0:00:32,0.0038,1.8080,0.0168
88,32.09,0:00:32,0.0038,1.7978,0.0167
