Threads,time_seconds,Time,Energy,CO2eq,travelled
2,159.42,0:02:47,0.0065,3.0985,0.0288
4,103.34,0:01:48,0.0045,2.1480,0.0200
6,56.44,0:01:00,0.0028,1.3117,0.0122
8,45.30,0:00:48,0.0023,1.0965,0.0102
10,36.55,0:00:39,0.0020,0.9343,0.0087
12,31.31,0:00:33,0.0018,0.8502,0.0079
14,27.61,0:00:29,0.0017,0.7997,0.0074
16,24.77,0:00:26,0.0016,0.7547,0.0070
18,22.61,0:00:24,0.0015,0.7232,0.0067
20,20.24,0:00:22,0.0014,0.6677,0.0062
22,19.25,0:00:20,0.0014,0.6608,0.0061
24,18.67,0:00:20,0.0014,0.6819,0.0063
26,18.06,0:00:19,0.0014,0.6882,0.0064
28,20.70,0:00:22,0.0016,0.7831,0.0073
30,15.93,0:00:17,0.0014,0.6514,0.0061
32,14.30,0:00:15,0.0013,0.6015,0.0056
34,14.11,0:00:15,0.0013,0.6104,0.0057
36,12.78,0:00:14,0.0012,0.5743,0.0053
38,11.49,0:00:12,0.0011,0.5369,0.0050
40,11.58,0:00:12,0.0012,0.5560,0.0052
42,10.62,0:00:11,0.0010,0.4782,0.0044
44,10.82,0:00:12,0.0011,0.5072,0.0047
46,14.40,0:00:15,0.0014,0.6753,0.0063
48,14.38,0:00:15,0.0014,0.6582,0.0061
50,14.44,0:00:15,0.0014,0.6818,0.0063
52,13.47,0:00:14,0.0014,0.6440,0.0060
54,13.29,0:00:14,0.0013,0.6400,0.0060
56,12.56,0:00:13,0.0013,0.6142,0.0057
58,12.43,0:00:13,0.0013,0.6118,0.0057
60,12.11,0:00:13,0.0013,0.6014,0.0056
62,11.96,0:00:13,0.0013,0.6002,0.0056
64,11.75,0:00:12,0.0012,0.5913,0.0055
66,11.46,0:00:12,0.0012,0.5810,0.0054
68,11.50,0:00:12,0.0012,0.5862,0.0055
70,10.95,0:00:12,0.0011,0.5357,0.0050
72,10.97,0:00:12,0.0011,0.5397,0.0050
74,10.68,0:00:11,0.0011,0.5305,0.0049
76,10.42,0:00:11,0.0011,0.5193,0.0048
78,9.83,0:00:11,0.0010,0.4952,0.0046
80,9.83,0:00:11,0.0011,0.4989,0.0046
82,9.82,0:00:10,0.0011,0.5034,0.0047
84,9.40,0:00:10,0.0010,0.4871,0.0045
86,9.11,0:00:10,0.0010,0.4762,0.0044
88,9.14,0:00:10,0.0010,0.4666,0.0043
