Threads,time_seconds,Time,Energy,CO2eq,travelled
2,93.30,0:01:38,0.0041,1.9277,0.0179
4,57.92,0:01:01,0.0028,1.3103,0.0122
6,47.24,0:00:49,0.0024,1.1535,0.0107
8,43.72,0:00:45,0.0023,1.1161,0.0104
10,41.59,0:00:43,0.0023,1.0981,0.0102
12,40.54,0:00:42,0.0024,1.1262,0.0105
14,40.09,0:00:41,0.0024,1.1592,0.0108
16,39.46,0:00:41,0.0025,1.1911,0.0111
18,38.96,0:00:40,0.0025,1.2104,0.0113
20,39.36,0:00:40,0.0027,1.2678,0.0118
22,39.44,0:00:40,0.0028,1.3113,0.0122
24,36.32,0:00:37,0.0026,1.2506,0.0116
26,34.03,0:00:35,0.0025,1.1971,0.0111
28,31.27,0:00:32,0.0024,1.1260,0.0105
30,29.37,0:00:30,0.0023,1.0910,0.0101
32,27.34,0:00:28,0.0022,1.0500,0.0098
34,26.50,0:00:27,0.0022,1.0513,0.0098
36,24.71,0:00:25,0.0021,1.0202,0.0095
38,23.47,0:00:24,0.0021,1.0120,0.0094
40,22.54,0:00:23,0.0021,1.0161,0.0095
42,21.27,0:00:22,0.0021,1.0012,0.0093
44,20.43,0:00:21,0.0021,0.9992,0.0093
46,22.77,0:00:23,0.0022,1.0647,0.0099
48,23.05,0:00:24,0.0023,1.0707,0.0100
50,23.40,0:00:24,0.0022,1.0671,0.0099
52,23.05,0:00:24,0.0022,1.0661,0.0099
54,24.15,0:00:25,0.0023,1.0841,0.0101
56,24.60,0:00:25,0.0023,1.0862,0.0101
58,24.82,0:00:25,0.0023,1.1030,0.0103
60,25.20,0:00:26,0.0023,1.1026,0.0103
62,26.18,0:00:27,0.0024,1.1267,0.0105
64,26.10,0:00:27,0.0024,1.1283,0.0105
66,26.26,0:00:27,0.0024,1.1342,0.0106
68,25.85,0:00:26,0.0024,1.1326,0.0105
70,25.72,0:00:26,0.0024,1.1322,0.0105
72,25.03,0:00:26,0.0024,1.1203,0.0104
74,23.26,0:00:24,0.0023,1.0825,0.0101
76,24.07,0:00:25,0.0023,1.1063,0.0103
78,22.48,0:00:23,0.0023,1.0709,0.0100
80,22.43,0:00:23,0.0022,1.0560,0.0098
82,22.29,0:00:23,0.0023,1.0740,0.0100
84,21.41,0:00:22,0.0022,1.0597,0.0099
86,20.81,0:00:21,0.0022,1.0525,0.0098
88,20.52,0:00:21,0.0022,1.0434,0.0097
