Threads,time_seconds,Time,Energy,CO2eq,travelled
2,246.09,0:04:08,0.0102,4.8469,0.0451
4,146.00,0:02:27,0.0068,3.2101,0.0299
6,111.54,0:01:52,0.0056,2.6597,0.0247
8,92.77,0:01:33,0.0049,2.3480,0.0218
10,86.58,0:01:27,0.0048,2.2936,0.0213
12,86.62,0:01:27,0.0051,2.4013,0.0223
14,90.88,0:01:31,0.0055,2.6261,0.0244
16,97.57,0:01:38,0.0061,2.9163,0.0271
18,105.34,0:01:46,0.0068,3.2468,0.0302
20,111.28,0:01:52,0.0074,3.5357,0.0329
22,115.57,0:01:56,0.0079,3.7718,0.0351
24,106.11,0:01:47,0.0075,3.5617,0.0331
26,98.91,0:01:39,0.0071,3.3859,0.0315
28,93.59,0:01:34,0.0068,3.2499,0.0302
30,87.47,0:01:28,0.0066,3.1222,0.0290
32,80.49,0:01:21,0.0063,2.9841,0.0278
34,80.48,0:01:21,0.0064,3.0304,0.0282
36,76.78,0:01:17,0.0063,2.9858,0.0278
38,69.78,0:01:10,0.0061,2.8941,0.0269
40,66.00,0:01:06,0.0061,2.9081,0.0271
42,66.00,0:01:06,0.0062,2.9642,0.0276
44,66.33,0:01:07,0.0065,3.0677,0.0285
46,75.38,0:01:16,0.0069,3.2872,0.0306
48,72.82,0:01:13,0.0067,3.1870,0.0296
50,72.63,0:01:13,0.0067,3.1730,0.0295
52,73.49,0:01:14,0.0068,3.2198,0.0300
54,72.71,0:01:13,0.0068,3.2222,0.0300
56,74.57,0:01:15,0.0069,3.2820,0.0305
58,73.48,0:01:14,0.0069,3.2868,0.0306
60,75.62,0:01:16,0.0069,3.2993,0.0307
62,79.79,0:01:20,0.0071,3.3861,0.0315
64,84.63,0:01:25,0.0074,3.4914,0.0325
66,88.25,0:01:29,0.0075,3.5829,0.0333
68,89.28,0:01:30,0.0077,3.6370,0.0338
70,85.42,0:01:26,0.0076,3.6106,0.0336
72,90.47,0:01:31,0.0078,3.7163,0.0346
74,82.14,0:01:23,0.0074,3.5141,0.0327
76,81.60,0:01:22,0.0075,3.5395,0.0329
78,79.51,0:01:20,0.0074,3.5124,0.0327
80,74.39,0:01:15,0.0072,3.4096,0.0317
82,72.23,0:01:13,0.0071,3.3613,0.0313
84,74.09,0:01:15,0.0072,3.4263,0.0319
86,74.17,0:01:15,0.0073,3.4467,0.0321
88,74.53,0:01:15,0.0072,3.4296,0.0319
