Threads,time_seconds,Time,Energy,CO2eq,travelled
2,247.67,0:04:09,0.0099,4.7173,0.0439
4,142.41,0:02:23,0.0063,3.0000,0.0279
6,108.36,0:01:49,0.0052,2.4526,0.0228
8,92.27,0:01:33,0.0046,2.1829,0.0203
10,81.74,0:01:22,0.0043,2.0221,0.0188
12,73.97,0:01:14,0.0041,1.9414,0.0181
14,67.94,0:01:08,0.0040,1.8865,0.0175
16,64.01,0:01:04,0.0039,1.8578,0.0173
18,60.61,0:01:01,0.0039,1.8395,0.0171
20,58.20,0:00:59,0.0039,1.8343,0.0171
22,55.96,0:00:56,0.0039,1.8390,0.0171
24,49.16,0:00:49,0.0037,1.7463,0.0162
26,45.02,0:00:45,0.0035,1.6593,0.0154
28,41.37,0:00:42,0.0033,1.5850,0.0147
30,37.49,0:00:38,0.0031,1.4840,0.0138
32,35.88,0:00:36,0.0031,1.4518,0.0135
34,32.45,0:00:33,0.0029,1.3659,0.0127
36,31.00,0:00:31,0.0028,1.3502,0.0126
38,29.60,0:00:30,0.0028,1.3242,0.0123
40,28.37,0:00:29,0.0028,1.3067,0.0122
42,27.46,0:00:28,0.0028,1.3075,0.0122
44,26.64,0:00:27,0.0027,1.3020,0.0121
46,32.53,0:00:33,0.0032,1.5090,0.0140
48,32.56,0:00:33,0.0032,1.5244,0.0142
50,32.93,0:00:33,0.0032,1.5334,0.0143
52,32.49,0:00:33,0.0032,1.5263,0.0142
54,32.16,0:00:32,0.0032,1.5165,0.0141
56,31.92,0:00:32,0.0032,1.5175,0.0141
58,32.11,0:00:32,0.0032,1.5313,0.0142
60,31.85,0:00:32,0.0032,1.5276,0.0142
62,31.63,0:00:32,0.0032,1.5224,0.0142
64,31.59,0:00:32,0.0032,1.5277,0.0142
66,31.38,0:00:32,0.0032,1.5239,0.0142
68,30.71,0:00:31,0.0032,1.5022,0.0140
70,30.86,0:00:31,0.0032,1.5176,0.0141
72,29.36,0:00:30,0.0031,1.4547,0.0135
74,28.89,0:00:29,0.0030,1.4432,0.0134
76,28.24,0:00:28,0.0030,1.4210,0.0132
78,26.93,0:00:27,0.0029,1.3708,0.0128
80,26.54,0:00:27,0.0029,1.3583,0.0126
82,26.03,0:00:26,0.0028,1.3410,0.0125
84,26.44,0:00:27,0.0029,1.3602,0.0127
86,26.11,0:00:26,0.0028,1.3524,0.0126
88,25.34,0:00:26,0.0028,0.3925,0.0037
