Threads,time_seconds,Time,Energy,CO2eq,travelled
2,2.71802,0:00:03,0.0001,0.0529,0.0005
4,1.45739,0:00:01,0.0001,0.0321,0.0003
6,1.02434,0:00:01,0.0001,0.0249,0.0002
8,0.85265,0:00:01,0.0000,0.0192,0.0002
10,0.67502,0:00:01,0.0000,0.0000,0.0000
12,0.59662,0:00:01,0.0000,0.0000,0.0000
14,0.53476,0:00:01,0.0000,0.0000,0.0000
16,0.49832,0:00:01,0.0000,0.0000,0.0000
18,0.53424,0:00:01,0.0000,0.0000,0.0000
20,0.55026,0:00:01,0.0000,0.0000,0.0000
22,0.55569,0:00:01,0.0000,0.0000,0.0000
24,0.68770,0:00:01,0.0000,0.0000,0.0000
26,0.63182,0:00:01,0.0000,0.0000,0.0000
28,0.60928,0:00:01,0.0000,0.0000,0.0000
30,0.56430,0:00:01,0.0000,0.0000,0.0000
32,0.54377,0:00:01,0.0000,0.0000,0.0000
34,0.54963,0:00:01,0.0000,0.0000,0.0000
36,0.51354,0:00:01,0.0000,0.0000,0.0000
38,0.49608,0:00:01,0.0000,0.0000,0.0000
40,0.48563,0:00:01,0.0000,0.0000,0.0000
42,0.49260,0:00:01,0.0000,0.0000,0.0000
44,0.45269,0:00:00,0.0000,0.0000,0.0000
46,0.48701,0:00:01,0.0000,0.0000,0.0000
48,0.47448,0:00:00,0.0000,0.0000,0.0000
50,0.45004,0:00:00,0.0000,0.0000,0.0000
52,0.44666,0:00:00,0.0000,0.0000,0.0000
54,0.50840,0:00:01,0.0000,0.0000,0.0000
56,0.44287,0:00:00,0.0000,0.0000,0.0000
58,0.54178,0:00:01,0.0000,0.0000,0.0000
60,0.47274,0:00:00,0.0000,0.0000,0.0000
62,0.38449,0:00:00,0.0000,0.0000,0.0000
64,0.36770,0:00:00,0.0000,0.0000,0.0000
66,0.35797,0:00:00,0.0000,0.0000,0.0000
68,0.36771,0:00:00,0.0000,0.0000,0.0000
70,0.38333,0:00:00,0.0000,0.0000,0.0000
72,0.34104,0:00:00,0.0000,0.0000,0.0000
74,0.34100,0:00:00,0.0000,0.0000,0.0000
76,0.33726,0:00:00,0.0000,0.0000,0.0000
78,0.32918,0:00:00,0.0000,0.0000,0.0000
80,0.31641,0:00:00,0.0000,0.0000,0.0000
82,0.30592,0:00:00,0.0000,0.0000,0.0000
84,0.31347,0:00:00,0.0000,0.0000,0.0000
86,0.32463,0:00:00,0.0000,0.0000,0.0000
88,0.33413,0:00:00,0.0000,0.0000,0.0000
