Threads,time_seconds,Time,Energy,CO2eq,travelled
2,46.48189,0:00:47,0.0016,0.7392,0.0069
4,23.67682,0:00:24,0.0010,0.4597,0.0043
6,18.03073,0:00:18,0.0007,0.3456,0.0032
8,15.09951,0:00:15,0.0007,0.3107,0.0029
10,13.48772,0:00:14,0.0006,0.2918,0.0027
12,13.27972,0:00:13,0.0006,0.2899,0.0027
14,12.72264,0:00:13,0.0006,0.2836,0.0026
16,11.64143,0:00:12,0.0003,0.1555,0.0014
18,11.64840,0:00:12,0.0003,0.1550,0.0014
20,12.06085,0:00:12,0.0007,0.3145,0.0029
22,11.04545,0:00:11,0.0003,0.1516,0.0014
24,11.56609,0:00:12,0.0003,0.1554,0.0014
26,11.24600,0:00:11,0.0003,0.1511,0.0014
28,11.46290,0:00:11,0.0003,0.1548,0.0014
30,11.45155,0:00:11,0.0003,0.1584,0.0015
32,11.77279,0:00:12,0.0003,0.1638,0.0015
34,12.22649,0:00:12,0.0007,0.3204,0.0030
36,11.65576,0:00:12,0.0003,0.1579,0.0015
38,11.99459,0:00:12,0.0007,0.3160,0.0029
40,12.34862,0:00:12,0.0007,0.3259,0.0030
