Threads,time_seconds,Time,Energy,CO2eq,travelled
2,69.22071,0:01:09,0.0023,0.3204,0.0030
4,33.24483,0:00:33,0.0015,0.2188,0.0020
6,24.27681,0:00:24,0.0012,0.1760,0.0016
8,20.88481,0:00:21,0.0011,0.1538,0.0014
10,19.49460,0:00:20,0.0011,0.1502,0.0014
12,18.32852,0:00:18,0.0011,0.1507,0.0014
14,18.68485,0:00:19,0.0011,0.1581,0.0015
16,19.51922,0:00:20,0.0011,0.1612,0.0015
18,17.73881,0:00:18,0.0012,0.1642,0.0015
20,17.36546,0:00:17,0.0012,0.1672,0.0016
22,21.00826,0:00:21,0.0013,0.1901,0.0018
24,19.98508,0:00:20,0.0013,0.1835,0.0017
26,19.40191,0:00:19,0.0013,0.1814,0.0017
28,18.75872,0:00:19,0.0013,0.1781,0.0017
30,18.58576,0:00:19,0.0012,0.1754,0.0016
32,18.10651,0:00:18,0.0012,0.1726,0.0016
34,18.24508,0:00:18,0.0012,0.1750,0.0016
36,18.25542,0:00:18,0.0013,0.1788,0.0017
38,18.17666,0:00:18,0.0013,0.1792,0.0017
40,17.70828,0:00:18,0.0012,0.1757,0.0016
