Threads,time_seconds,Time,Energy,CO2eq,travelled
2,140.26,0:02:20,0.0045,2.1470,0.0200
4,81.53,0:01:22,0.0035,1.6749,0.0156
6,61.75,0:01:02,0.0029,1.3786,0.0128
8,51.69,0:00:52,0.0026,1.2353,0.0115
10,46.61,0:00:47,0.0025,1.1651,0.0108
12,42.48,0:00:43,0.0024,1.1397,0.0106
14,39.26,0:00:39,0.0024,1.1188,0.0104
16,38.03,0:00:38,0.0024,1.1440,0.0106
18,37.34,0:00:37,0.0025,1.1847,0.0110
20,36.40,0:00:36,0.0025,1.2085,0.0112
22,47.41,0:00:47,0.0032,1.5116,0.0141
24,47.37,0:00:47,0.0032,1.5334,0.0143
26,47.50,0:00:48,0.0033,1.5463,0.0144
28,48.15,0:00:48,0.0033,1.5822,0.0147
30,46.65,0:00:47,0.0033,1.5602,0.0145
32,47.68,0:00:48,0.0034,1.6087,0.0150
34,46.85,0:00:47,0.0034,1.6062,0.0149
36,48.35,0:00:48,0.0035,1.6686,0.0155
38,49.27,0:00:49,0.0036,1.7152,0.0160
40,51.84,0:00:52,0.0038,1.8268,0.0170
