Threads,time_seconds,Time,Energy,CO2eq,travelled
2,478.48,0:08:02,0.0157,7.4565,0.0694
4,270.56,0:04:33,0.0097,4.6220,0.0430
6,193.41,0:03:15,0.0077,3.6577,0.0340
8,150.04,0:02:31,0.0067,3.1666,0.0295
10,125.10,0:02:06,0.0062,2.9603,0.0275
12,106.87,0:01:48,0.0066,3.1535,0.0293
14,91.75,0:01:33,0.0061,2.8872,0.0269
16,78.07,0:01:19,0.0055,2.6255,0.0244
18,73.84,0:01:14,0.0055,2.6171,0.0243
20,62.31,0:01:03,0.0050,2.3887,0.0222
22,96.61,0:01:37,0.0064,3.0404,0.0283
24,88.42,0:01:29,0.0061,2.9034,0.0270
26,89.67,0:01:30,0.0061,2.9196,0.0272
28,77.21,0:01:18,0.0057,2.7192,0.0253
30,79.81,0:01:21,0.0051,2.4283,0.0226
32,72.24,0:01:13,0.0057,2.6882,0.0250
34,70.54,0:01:11,0.0056,2.6795,0.0249
36,65.64,0:01:06,0.0054,2.5749,0.0240
38,64.69,0:01:05,0.0054,2.5721,0.0239
40,57.64,0:00:58,0.0052,2.4559,0.0228
