Threads,time_seconds,Time,Energy,CO2eq,travelled
2,276.38,0:04:39,0.0098,4.6503,0.0433
4,161.23,0:02:43,0.0063,2.9773,0.0277
6,141.37,0:02:22,0.0060,2.8606,0.0266
8,139.29,0:02:20,0.0066,3.1241,0.0291
10,145.78,0:02:27,0.0075,3.5859,0.0334
12,121.06,0:02:02,0.0075,3.5603,0.0331
14,104.58,0:01:45,0.0068,3.2238,0.0300
16,90.99,0:01:32,0.0063,3.0016,0.0279
18,81.13,0:01:22,0.0062,2.9340,0.0273
20,75.17,0:01:16,0.0062,2.9631,0.0276
22,96.84,0:01:38,0.0072,3.3964,0.0316
24,103.89,0:01:45,0.0076,3.6048,0.0335
26,104.93,0:01:46,0.0075,3.5792,0.0333
28,103.45,0:01:44,0.0076,3.5916,0.0334
30,108.17,0:01:49,0.0078,3.7101,0.0345
32,105.64,0:01:46,0.0079,3.7431,0.0348
34,94.65,0:01:35,0.0074,3.5072,0.0326
36,91.65,0:01:32,0.0073,3.4547,0.0321
38,92.30,0:01:33,0.0075,3.5489,0.0330
40,85.17,0:01:26,0.0072,3.4401,0.0320
