Threads,time_seconds,Time,Energy,CO2eq,travelled
2,293.88,0:04:56,0.0101,4.7835,0.0445
4,170.77,0:02:52,0.0062,2.9495,0.0274
6,131.42,0:02:12,0.0053,2.4985,0.0232
8,111.40,0:01:52,0.0049,2.3278,0.0217
10,99.90,0:01:41,0.0048,2.2740,0.0212
12,74.70,0:01:15,0.0046,2.1953,0.0204
14,64.92,0:01:05,0.0043,2.0245,0.0188
16,59.39,0:01:00,0.0041,1.9494,0.0181
18,52.12,0:00:52,0.0038,1.8203,0.0169
20,47.74,0:00:48,0.0037,1.7708,0.0165
22,62.16,0:01:03,0.0045,2.1485,0.0200
24,61.01,0:01:01,0.0044,2.1088,0.0196
26,59.27,0:01:00,0.0044,2.0686,0.0192
28,59.10,0:00:59,0.0044,2.0980,0.0195
30,58.29,0:00:59,0.0044,2.1037,0.0196
32,55.07,0:00:55,0.0043,2.0329,0.0189
34,51.62,0:00:52,0.0033,1.5719,0.0146
36,49.66,0:00:50,0.0040,1.9064,0.0177
38,46.72,0:00:47,0.0039,1.8323,0.0170
40,44.97,0:00:45,0.0038,1.7907,0.0167
