Threads,time_seconds,Time,Energy,CO2eq,travelled
2,3.49798,0:00:04,0.0001,0.0578,0.0005
4,1.89453,0:00:02,0.0001,0.0444,0.0004
6,1.38968,0:00:01,0.0001,0.0351,0.0003
8,1.04218,0:00:01,0.0001,0.0286,0.0003
10,0.86083,0:00:01,0.0000,0.0220,0.0002
12,0.77678,0:00:01,0.0000,0.0000,0.0000
14,0.66911,0:00:01,0.0000,0.0000,0.0000
16,0.61575,0:00:01,0.0000,0.0000,0.0000
18,0.56522,0:00:01,0.0000,0.0000,0.0000
20,0.54518,0:00:01,0.0000,0.0000,0.0000
22,0.82452,0:00:01,0.0001,0.0243,0.0002
24,0.77146,0:00:01,0.0000,0.0000,0.0000
26,0.72720,0:00:01,0.0000,0.0000,0.0000
28,0.67593,0:00:01,0.0000,0.0000,0.0000
30,0.67721,0:00:01,0.0000,0.0000,0.0000
32,0.66411,0:00:01,0.0000,0.0000,0.0000
34,0.63700,0:00:01,0.0000,0.0000,0.0000
36,0.60723,0:00:01,0.0000,0.0000,0.0000
38,0.60712,0:00:01,0.0000,0.0000,0.0000
40,0.62120,0:00:01,0.0000,0.0000,0.0000
