Threads,time_seconds,Time,Energy,CO2eq,travelled
2,4.03445,0:00:04,0.0001,0.0645,0.0006
4,1.51799,0:00:02,0.0001,0.0351,0.0003
6,1.08950,0:00:01,0.0001,0.0270,0.0003
8,0.85977,0:00:01,0.0000,0.0219,0.0002
10,0.68717,0:00:01,0.0000,0.0000,0.0000
12,0.58224,0:00:01,0.0000,0.0000,0.0000
14,0.50995,0:00:01,0.0000,0.0000,0.0000
16,0.44354,0:00:00,0.0000,0.0000,0.0000
18,0.40516,0:00:00,0.0000,0.0000,0.0000
20,0.37391,0:00:00,0.0000,0.0000,0.0000
22,0.59788,0:00:01,0.0000,0.0000,0.0000
24,0.56370,0:00:01,0.0000,0.0000,0.0000
26,0.53149,0:00:01,0.0000,0.0000,0.0000
28,0.51161,0:00:01,0.0000,0.0000,0.0000
30,0.46988,0:00:00,0.0000,0.0000,0.0000
32,0.44353,0:00:00,0.0000,0.0000,0.0000
34,0.42852,0:00:00,0.0000,0.0000,0.0000
36,0.41179,0:00:00,0.0000,0.0000,0.0000
38,0.39406,0:00:00,0.0000,0.0000,0.0000
40,0.38248,0:00:00,0.0000,0.0000,0.0000
