Threads,time_seconds,Time,Energy,CO2eq,travelled
2,58.139708,0:00:58,0.0041,1.9606,0.0182
4,55.757201,0:00:56,0.0042,1.9777,0.0184
6,53.182585,0:00:53,0.0041,1.9536,0.0182
8,53.638295,0:00:54,0.0042,2.0062,0.0187
10,54.832011,0:00:55,0.0044,2.0691,0.0192
12,50.223021,0:00:50,0.0042,2.0002,0.0186
14,50.431572,0:00:50,0.0043,2.0214,0.0188
16,53.073727,0:00:53,0.0043,2.0538,0.0191
18,53.292979,0:00:53,0.0035,1.6530,0.0154
20,54.951253,0:00:55,0.0048,2.2569,0.0210
22,50.439219,0:00:50,0.0047,2.2522,0.0210
24,50.736546,0:00:51,0.0046,2.1937,0.0204
26,54.516253,0:00:55,0.0047,2.2544,0.0210
28,52.219683,0:00:52,0.0046,2.1774,0.0203
30,52.580050,0:00:53,0.0045,2.1360,0.0199
32,53.218505,0:00:53,0.0047,2.2395,0.0208
34,51.520888,0:00:52,0.0047,2.2386,0.0208
36,53.189313,0:00:53,0.0046,2.1885,0.0204
38,50.322478,0:00:50,0.0046,2.1802,0.0203
40,53.480524,0:00:53,0.0049,2.3297,0.0217
42,52.578333,0:00:53,0.0048,2.2759,0.0212
44,53.941742,0:00:54,0.0050,2.3776,0.0221
46,52.926157,0:00:53,0.0047,2.2369,0.0208
48,55.201111,0:00:55,0.0051,2.4030,0.0224
