Threads,time_seconds,Time,Energy,CO2eq,travelled
2,340.05,0:05:43,0.0251,11.9139,0.1108
4,203.52,0:03:25,0.0164,7.7710,0.0723
6,161.98,0:02:44,0.0139,6.5936,0.0613
8,140.19,0:02:22,0.0126,5.9803,0.0556
10,127.81,0:02:09,0.0120,5.6883,0.0529
12,122.89,0:02:04,0.0118,5.5864,0.0520
14,109.69,0:01:51,0.0107,5.0819,0.0473
16,95.77,0:01:37,0.0098,4.6787,0.0435
18,86.32,0:01:27,0.0092,4.3872,0.0408
20,75.93,0:01:17,0.0085,4.0348,0.0375
22,77.16,0:01:18,0.0088,4.1837,0.0389
24,67.09,0:01:08,0.0081,3.8361,0.0357
26,86.66,0:01:27,0.0096,4.5653,0.0425
28,79.75,0:01:21,0.0091,4.3091,0.0401
30,83.43,0:01:24,0.0093,4.3966,0.0409
32,81.44,0:01:22,0.0091,4.3276,0.0403
34,78.86,0:01:20,0.0088,4.1850,0.0389
36,83.89,0:01:25,0.0091,4.3429,0.0404
38,86.06,0:01:27,0.0095,4.5124,0.0420
40,74.33,0:01:15,0.0085,4.0406,0.0376
42,76.07,0:01:17,0.0087,4.1145,0.0383
44,69.66,0:01:10,0.0082,3.9183,0.0364
46,66.25,0:01:07,0.0079,3.7736,0.0351
48,67.02,0:01:08,0.0080,3.7881,0.0352
