Threads,time_seconds,Time,Energy,CO2eq,travelled
2,56.67,0:01:03,0.0047,2.2372,0.0208
4,43.65,0:00:47,0.0037,1.7749,0.0165
6,41.96,0:00:45,0.0037,1.7554,0.0163
8,41.85,0:00:44,0.0038,1.7868,0.0166
10,42.15,0:00:44,0.0039,1.8585,0.0173
12,42.52,0:00:44,0.0041,1.9291,0.0179
14,37.18,0:00:39,0.0036,1.7324,0.0161
16,32.82,0:00:34,0.0033,1.5888,0.0148
18,29.36,0:00:31,0.0031,1.4831,0.0138
20,26.26,0:00:28,0.0029,1.3896,0.0129
22,23.97,0:00:25,0.0028,1.3301,0.0124
24,22.16,0:00:23,0.0027,1.2674,0.0118
26,24.19,0:00:26,0.0028,1.3462,0.0125
28,25.24,0:00:27,0.0030,1.4064,0.0131
30,26.51,0:00:28,0.0031,1.4620,0.0136
32,27.54,0:00:29,0.0032,1.5060,0.0140
34,28.55,0:00:30,0.0033,1.5453,0.0144
36,29.87,0:00:31,0.0033,1.5905,0.0148
38,28.15,0:00:29,0.0032,1.5255,0.0142
40,27.38,0:00:29,0.0032,1.5096,0.0140
42,26.17,0:00:27,0.0031,1.4669,0.0136
44,24.92,0:00:26,0.0030,1.4137,0.0132
46,22.59,0:00:24,0.0027,1.3043,0.0121
48,22.23,0:00:23,0.0027,1.2815,0.0119
