Threads,time_seconds,Time,Energy,CO2eq,travelled
2,57.42,0:01:05,0.0049,2.3050,0.0214
4,37.58,0:00:42,0.0034,1.5945,0.0148
6,32.18,0:00:36,0.0030,1.4238,0.0132
8,31.06,0:00:34,0.0029,1.3859,0.0129
10,30.57,0:00:34,0.0030,1.4112,0.0131
12,30.55,0:00:33,0.0030,1.4121,0.0131
14,27.19,0:00:30,0.0027,1.2845,0.0119
16,23.58,0:00:26,0.0024,1.1603,0.0108
18,21.51,0:00:23,0.0023,1.0982,0.0102
20,19.34,0:00:21,0.0021,1.0064,0.0094
22,17.39,0:00:19,0.0020,0.9581,0.0089
24,16.08,0:00:18,0.0020,0.9271,0.0086
26,19.73,0:00:21,0.0022,1.0571,0.0098
28,19.67,0:00:21,0.0022,1.0447,0.0097
30,19.60,0:00:21,0.0022,1.0458,0.0097
32,20.52,0:00:22,0.0023,1.0779,0.0100
34,22.55,0:00:24,0.0025,1.1929,0.0111
36,21.99,0:00:24,0.0025,1.1651,0.0108
38,20.81,0:00:23,0.0023,1.1048,0.0103
40,19.82,0:00:22,0.0023,1.0810,0.0101
42,20.27,0:00:22,0.0023,1.1059,0.0103
44,18.68,0:00:20,0.0022,1.0643,0.0099
46,18.58,0:00:20,0.0022,1.0662,0.0099
48,18.55,0:00:20,0.0023,1.0710,0.0100
