Threads,time_seconds,Time,Energy,CO2eq,travelled
2,121.91,0:02:09,0.0096,1.3616,0.0127
4,125.84,0:02:10,0.0102,1.4461,0.0135
6,127.86,0:02:12,0.0107,1.5136,0.0141
8,128.06,0:02:12,0.0110,1.5634,0.0145
10,126.07,0:02:09,0.0112,1.5865,0.0148
12,123.01,0:02:06,0.0111,1.5747,0.0146
14,106.61,0:01:49,0.0098,1.3864,0.0129
16,92.60,0:01:35,0.0088,1.2433,0.0116
18,83.62,0:01:26,0.0082,1.1638,0.0108
20,75.30,0:01:17,0.0078,1.0999,0.0102
22,68.75,0:01:11,0.0074,1.0461,0.0097
24,63.07,0:01:05,0.0071,1.0033,0.0093
26,68.55,0:01:10,0.0074,1.0507,0.0098
28,73.36,0:01:15,0.0077,1.0953,0.0102
30,78.07,0:01:20,0.0081,1.1507,0.0107
32,80.93,0:01:23,0.0083,1.1766,0.0109
34,83.73,0:01:26,0.0085,1.2071,0.0112
36,87.24,0:01:29,0.0087,1.2351,0.0115
38,82.01,0:01:24,0.0083,1.1808,0.0110
40,80.01,0:01:22,0.0082,1.1623,0.0108
42,75.70,0:01:17,0.0079,1.1231,0.0104
44,71.42,0:01:13,0.0077,1.0898,0.0101
46,68.92,0:01:11,0.0075,1.0694,0.0099
48,67.49,0:01:09,0.0075,1.0571,0.0098
