Threads,time_seconds,Time,Energy,CO2eq,travelled
2,252.20,0:04:14,0.0190,2.6896,0.0250
4,221.35,0:03:43,0.0176,2.4981,0.0232
6,255.21,0:04:17,0.0209,2.9604,0.0275
8,294.62,0:04:56,0.0248,3.5096,0.0326
10,326.14,0:05:28,0.0282,4.0050,0.0373
12,343.85,0:05:45,0.0302,4.2780,0.0398
14,300.48,0:05:02,0.0270,3.8215,0.0355
16,267.59,0:04:29,0.0246,3.4893,0.0325
18,256.70,0:04:18,0.0242,3.4328,0.0319
20,210.18,0:03:31,0.0208,2.9554,0.0275
22,202.16,0:03:23,0.0210,2.9774,0.0277
24,184.14,0:03:05,0.0200,2.8389,0.0264
26,203.06,0:03:24,0.0215,3.0479,0.0284
28,250.44,0:04:12,0.0254,3.6041,0.0335
30,259.02,0:04:20,0.0255,3.6165,0.0336
32,244.86,0:04:06,0.0244,3.4652,0.0322
34,252.80,0:04:14,0.0252,3.5677,0.0332
36,285.02,0:04:46,0.0273,3.8769,0.0361
38,282.31,0:04:44,0.0272,3.8618,0.0359
40,256.77,0:04:18,0.0245,3.4790,0.0324
42,269.30,0:04:31,0.0272,3.8585,0.0359
44,229.22,0:03:50,0.0240,3.4082,0.0317
46,217.47,0:03:39,0.0232,3.2949,0.0306
48,287.19,0:04:49,0.0295,4.1883,0.0390
