Threads,time_seconds,Time,Energy,CO2eq,travelled
2,254.60,0:04:16,0.0187,8.8690,0.0825
4,184.18,0:03:05,0.0144,6.8433,0.0637
6,162.23,0:02:43,0.0134,6.3549,0.0591
8,154.30,0:02:35,0.0131,6.2374,0.0580
10,149.45,0:02:30,0.0131,6.2209,0.0579
12,147.77,0:02:29,0.0132,6.2714,0.0583
14,126.95,0:02:08,0.0117,5.5804,0.0519
16,104.81,0:01:45,0.0102,4.8543,0.0452
18,95.34,0:01:36,0.0097,4.6292,0.0431
20,82.96,0:01:23,0.0089,4.2151,0.0392
22,75.10,0:01:16,0.0083,3.9658,0.0369
24,72.61,0:01:13,0.0082,3.9124,0.0364
26,79.19,0:01:20,0.0089,4.2290,0.0393
28,84.56,0:01:25,0.0094,4.4877,0.0417
30,87.85,0:01:28,0.0098,4.6516,0.0433
32,87.96,0:01:29,0.0098,4.6557,0.0433
34,92.24,0:01:33,0.0102,4.8561,0.0452
36,99.58,0:01:40,0.0109,5.1803,0.0482
38,89.99,0:01:31,0.0100,4.7683,0.0444
40,84.52,0:01:25,0.0095,4.5183,0.0420
42,81.26,0:01:22,0.0092,4.3633,0.0406
44,78.31,0:01:19,0.0089,4.2235,0.0393
46,76.19,0:01:17,0.0087,4.1107,0.0382
48,70.78,0:01:11,0.0081,3.8301,0.0356
