Threads,time_seconds,Time,Energy,CO2eq,travelled
1,89.56992,0:01:30,0.0024,0.3406,0.0032
2,45.75324,0:00:46,0.0013,0.1820,0.0017
3,31.36537,0:00:31,0.0009,0.1270,0.0012
4,24.28229,0:00:24,0.0007,0.1012,0.0009
5,20.22378,0:00:20,0.0006,0.0841,0.0008
6,17.92293,0:00:18,0.0005,0.0770,0.0007
7,17.16756,0:00:17,0.0005,0.0750,0.0007
8,17.28454,0:00:17,0.0005,0.0763,0.0007
9,21.15570,0:00:21,0.0006,0.0899,0.0008
10,19.78782,0:00:20,0.0006,0.0850,0.0008
11,18.69463,0:00:19,0.0006,0.0801,0.0007
12,17.96643,0:00:18,0.0005,0.0779,0.0007
13,17.47460,0:00:17,0.0005,0.2548,0.0024
14,17.39641,0:00:17,0.0005,0.2546,0.0024
15,17.48844,0:00:18,0.0005,0.2583,0.0024
16,17.58005,0:00:18,0.0005,0.2586,0.0024
