Threads,time_seconds,Time,Energy,CO2eq,travelled
1,133.61440,0:02:14,0.0035,0.5028,0.0047
2,70.79658,0:01:11,0.0020,0.2784,0.0026
3,49.64120,0:00:50,0.0015,0.2056,0.0019
4,39.86411,0:00:40,0.0012,0.1739,0.0016
5,35.39625,0:00:35,0.0011,0.1606,0.0015
6,32.82223,0:00:33,0.0011,0.1530,0.0014
7,32.02643,0:00:32,0.0011,0.1516,0.0014
8,31.78345,0:00:32,0.0011,0.1547,0.0014
9,43.04790,0:00:43,0.0014,0.1954,0.0018
10,39.97777,0:00:40,0.0013,0.1844,0.0017
11,37.21177,0:00:37,0.0012,0.1736,0.0016
12,35.09058,0:00:35,0.0012,0.1661,0.0015
13,33.70099,0:00:34,0.0011,0.1601,0.0015
14,33.22855,0:00:33,0.0011,0.1584,0.0015
15,33.12436,0:00:33,0.0011,0.1601,0.0015
16,33.73897,0:00:34,0.0012,0.1639,0.0015
