Treads,App,Time,Energy,CO2eq,travelled
2,hotspot,112.4733,0.0038,0.851,0.0079
4,hotspot,60.9633,0.0022,0.5029,0.0047
6,hotspot,43.4243,0.0016,0.3524,0.0033
8,hotspot,36.1937,0.0014,0.3118,0.0029
10,hotspot,26.6033,0.0011,0.2371,0.0022
12,hotspot,23.276,0.0009,0.2144,0.002
14,hotspot,20.923,0.0009,0.195,0.0018
16,hotspot,22.6873,0.001,0.2183,0.002
18,hotspot,17.6563,0.0008,0.174,0.0016
20,hotspot,16.7483,0.0008,0.1694,0.0016
22,hotspot,16.0733,0.0007,0.1619,0.0015
24,hotspot,14.4767,0.0007,0.1528,0.0014
26,hotspot,13.8247,0.0007,0.1493,0.0014
28,hotspot,12.926,0.0006,0.1474,0.0014
30,hotspot,12.522,0.0006,0.145,0.0014
32,hotspot,13.1793,0.0007,0.1518,0.0014
34,hotspot,11.4133,0.0006,0.1352,0.0013
36,hotspot,10.9253,0.0006,0.1341,0.0012
38,hotspot,10.4473,0.0006,0.1274,0.0012
40,hotspot,10.2787,0.0006,0.1293,0.0012
42,hotspot,9.986,0.0006,0.1231,0.0011
44,hotspot,9.843,0.0005,0.1218,0.0011
46,hotspot,9.3267,0.0006,0.1268,0.0012
48,hotspot,9.1457,0.0006,0.1282,0.0012
50,hotspot,8.946,0.0006,0.1274,0.0012
52,hotspot,9.0117,0.0006,0.1287,0.0012
54,hotspot,8.9543,0.0006,0.1287,0.0012
56,hotspot,8.8513,0.0006,0.1284,0.0012
58,hotspot,8.7973,0.0006,0.1283,0.0012
60,hotspot,8.8097,0.0006,0.1295,0.0012
62,hotspot,8.837,0.0006,0.1297,0.0012
64,hotspot,8.6243,0.0006,0.1312,0.0012
66,hotspot,8.383,0.0006,0.1256,0.0012
68,hotspot,8.2627,0.0005,0.1252,0.0012
70,hotspot,8.0743,0.0005,0.1213,0.0011
72,hotspot,7.9017,0.0005,0.1181,0.0011
74,hotspot,7.9767,0.0005,0.1162,0.0011
76,hotspot,7.5773,0.0005,0.1186,0.0011
78,hotspot,7.6257,0.0005,0.1237,0.0012
80,hotspot,7.5173,0.0005,0.1228,0.0011
82,hotspot,7.3107,0.0005,0.1218,0.0011
84,hotspot,7.2543,0.0005,0.1221,0.0011
86,hotspot,7.1803,0.0005,0.1215,0.0011
88,hotspot,7.1127,0.0005,0.122,0.0011
