Treads,App,Time,Energy,CO2eq,travelled
2,lud,347636.1823,0.0114,2.5804,0.024
4,lud,176566.6943,0.0061,1.3703,0.0127
6,lud,121836.6687,0.0043,0.9778,0.0091
8,lud,92543.4287,0.0034,0.7644,0.0071
10,lud,75215.711,0.0028,0.64,0.006
12,lud,63925.55,0.0024,0.5529,0.0051
14,lud,55965.8683,0.0022,0.4926,0.0046
16,lud,50037.028,0.002,0.4462,0.0041
18,lud,44898.7137,0.0018,0.405,0.0037
20,lud,40334.127,0.0017,0.3761,0.0035
22,lud,37132.6487,0.0016,0.3527,0.0033
24,lud,34132.1693,0.0015,0.3312,0.0031
26,lud,31792.6213,0.0014,0.3156,0.0029
28,lud,29579.7493,0.0013,0.3007,0.0028
30,lud,27911.9663,0.0013,0.2887,0.0027
32,lud,26367.1127,0.0012,0.2779,0.0026
34,lud,24935.239,0.0012,0.2684,0.0025
36,lud,23715.2547,0.0011,0.2593,0.0024
38,lud,22607.9953,0.0011,0.2515,0.0023
40,lud,21639.2017,0.0011,0.2448,0.0023
42,lud,20749.703,0.0011,0.2383,0.0022
44,lud,19989.307,0.001,0.234,0.0021
46,lud,20007.5643,0.0011,0.2384,0.0022
48,lud,20358.2477,0.0011,0.2447,0.0023
50,lud,20398.314,0.0011,0.2455,0.0023
52,lud,19911.896,0.0011,0.242,0.0023
54,lud,19359.3477,0.0011,0.2393,0.0022
56,lud,19007.9587,0.0011,0.2367,0.0022
58,lud,18470.7487,0.001,0.2325,0.0021
60,lud,18222.2447,0.001,0.2305,0.0021
62,lud,17775.1957,0.001,0.2258,0.0021
64,lud,17478.4093,0.001,0.225,0.0021
66,lud,16993.8327,0.001,0.2223,0.0021
68,lud,16629.0253,0.001,0.2185,0.002
70,lud,16390.451,0.001,0.2189,0.002
72,lud,16111.4397,0.001,0.2171,0.002
74,lud,16009.961,0.001,0.2169,0.002
76,lud,15677.3163,0.001,0.2154,0.002
78,lud,15464.7263,0.0009,0.2147,0.002
80,lud,15311.3727,0.001,0.215,0.002
82,lud,15136.4423,0.001,0.2151,0.002
84,lud,14980.4473,0.001,0.2153,0.002
86,lud,14902.0977,0.001,0.3351,0.0031
88,lud,14840.1227,0.001,0.3397,0.0032
