Treads,App,Time,Energy,CO2eq,travelled
2,streamcluster,282.0573,0.0093,3.2965,0.0307
4,streamcluster,150.8097,0.0053,1.8662,0.0173
6,streamcluster,110.3908,0.004,1.4065,0.0131
8,streamcluster,89.1652,0.0033,1.1699,0.0109
10,streamcluster,76.0692,0.0029,1.0205,0.0095
12,streamcluster,67.1622,0.0026,0.915,0.0085
14,streamcluster,61.2516,0.0024,0.8467,0.0079
16,streamcluster,56.9162,0.0022,0.7946,0.0074
18,streamcluster,53.849,0.0022,0.7594,0.0071
20,streamcluster,51.6115,0.0021,1.0071,0.0094
22,streamcluster,50.7658,0.0021,1.0011,0.0093
24,streamcluster,50.6268,0.0021,1.0099,0.0094
26,streamcluster,50.0423,0.0021,1.0123,0.0094
28,streamcluster,50.5293,0.0021,1.0296,0.0096
30,streamcluster,50.1814,0.0022,1.0351,0.0096
32,streamcluster,50.3062,0.0022,1.0473,0.0098
34,streamcluster,50.2801,0.0022,1.0566,0.0098
36,streamcluster,50.3506,0.0022,1.0674,0.0099
38,streamcluster,50.0297,0.0022,1.0717,0.01
40,streamcluster,50.0131,0.0023,1.0813,0.0101
42,streamcluster,50.2084,0.0023,1.0946,0.0102
44,streamcluster,50.0472,0.0023,1.1017,0.0103
46,streamcluster,48.8488,0.0023,1.0909,0.0102
48,streamcluster,49.9281,0.0024,1.1331,0.0106
50,streamcluster,50.3662,0.0024,1.1498,0.0107
52,streamcluster,50.2034,0.0024,1.158,0.0108
54,streamcluster,50.567,0.0024,1.1721,0.0109
56,streamcluster,50.732,0.0025,1.1827,0.011
58,streamcluster,50.8479,0.0025,1.1926,0.0111
60,streamcluster,50.8815,0.0025,1.2005,0.0112
62,streamcluster,50.7962,0.0025,1.2095,0.0113
64,streamcluster,50.9398,0.0025,1.2248,0.0114
66,streamcluster,50.8061,0.0026,1.2367,0.0115
68,streamcluster,51.174,0.0026,1.2607,0.0117
70,streamcluster,51.3791,0.0027,1.2774,0.0119
72,streamcluster,50.9932,0.0026,1.2747,0.0119
74,streamcluster,51.3006,0.0027,1.2928,0.012
76,streamcluster,53.0087,0.0028,1.3521,0.0126
78,streamcluster,52.4466,0.0028,1.3358,0.0124
80,streamcluster,53.8647,0.0029,1.3742,0.0128
82,streamcluster,54.3602,0.0029,1.389,0.0129
84,streamcluster,53.4317,0.0028,1.3686,0.0127
86,streamcluster,55.1123,0.0029,1.4145,0.0132
88,streamcluster,55.2389,0.0029,1.4237,0.0132
