Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,bfs,2.222050,0:00:05,0.0002,0.0903,0.0008
4,bfs,3.057347,0:00:06,0.0002,0.1038,0.0010
6,bfs,3.420669,0:00:06,0.0002,0.1087,0.0010
8,bfs,3.507067,0:00:06,0.0002,0.1063,0.0010
10,bfs,4.181147,0:00:07,0.0003,0.1196,0.0011
12,bfs,4.365904,0:00:07,0.0003,0.1224,0.0011
14,bfs,4.728893,0:00:07,0.0003,0.1298,0.0012
16,bfs,5.216993,0:00:08,0.0003,0.1382,0.0013
18,bfs,5.536673,0:00:08,0.0003,0.1443,0.0013
20,bfs,5.870753,0:00:09,0.0003,0.1494,0.0014
22,bfs,6.197988,0:00:09,0.0003,0.1484,0.0014
24,bfs,6.565537,0:00:09,0.0003,0.1623,0.0015
26,bfs,6.893631,0:00:10,0.0004,0.1684,0.0016
28,bfs,7.316933,0:00:10,0.0004,0.1745,0.0016
30,bfs,7.961172,0:00:11,0.0004,0.1865,0.0017
32,bfs,8.228628,0:00:11,0.0004,0.1914,0.0018
34,bfs,8.574075,0:00:11,0.0004,0.1965,0.0018
36,bfs,9.001988,0:00:12,0.0004,0.2036,0.0019
38,bfs,9.379149,0:00:12,0.0004,0.2116,0.0020
40,bfs,9.498843,0:00:12,0.0004,0.2125,0.0020
42,bfs,10.106167,0:00:13,0.0005,0.2228,0.0021
44,bfs,10.655684,0:00:13,0.0005,0.2304,0.0021
46,bfs,12.467817,0:00:15,0.0008,0.3678,0.0034
48,bfs,13.589407,0:00:16,0.0008,0.4016,0.0037
50,bfs,14.376476,0:00:17,0.0009,0.4252,0.0040
52,bfs,15.622090,0:00:18,0.0010,0.4633,0.0043
54,bfs,16.864511,0:00:20,0.0011,0.5009,0.0047
56,bfs,18.029936,0:00:21,0.0011,0.5369,0.0050
58,bfs,19.834515,0:00:23,0.0012,0.5891,0.0055
60,bfs,20.434366,0:00:23,0.0011,0.5415,0.0050
62,bfs,20.957418,0:00:24,0.0012,0.5577,0.0052
64,bfs,23.231422,0:00:26,0.0016,0.7732,0.0072
66,bfs,23.039347,0:00:26,0.0016,0.7428,0.0069
68,bfs,23.503437,0:00:26,0.0017,0.8024,0.0075
70,bfs,25.331347,0:00:28,0.0018,0.8698,0.0081
72,bfs,26.713678,0:00:29,0.0019,0.9235,0.0086
74,bfs,27.544224,0:00:30,0.0020,0.9648,0.0090
76,bfs,28.812222,0:00:32,0.0021,1.0131,0.0094
78,bfs,29.461075,0:00:32,0.0022,1.0517,0.0098
80,bfs,31.200916,0:00:34,0.0021,0.9747,0.0091
82,bfs,32.351925,0:00:35,0.0022,1.0394,0.0097
84,bfs,32.651806,0:00:35,0.0022,1.0578,0.0098
86,bfs,35.295364,0:00:38,0.0029,1.3846,0.0129
88,bfs,34.993610,0:00:38,0.0029,1.3900,0.0129
