Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cutcp,46.092850,0:00:46,0.0017,0.2409,0.0022
4,cutcp,24.064337,0:00:24,0.0010,0.1377,0.0013
6,cutcp,17.756302,0:00:18,0.0007,0.1063,0.0010
8,cutcp,13.835177,0:00:14,0.0006,0.0865,0.0008
10,cutcp,11.409998,0:00:11,0.0005,0.0739,0.0007
12,cutcp,9.945705,0:00:10,0.0005,0.0661,0.0006
14,cutcp,8.659653,0:00:09,0.0004,0.0593,0.0006
16,cutcp,7.968564,0:00:08,0.0004,0.0555,0.0005
18,cutcp,7.217234,0:00:07,0.0004,0.0510,0.0005
20,cutcp,6.569450,0:00:07,0.0003,0.0485,0.0005
22,cutcp,6.024285,0:00:06,0.0003,0.0456,0.0004
24,cutcp,5.649859,0:00:06,0.0003,0.0446,0.0004
26,cutcp,5.204901,0:00:05,0.0003,0.0424,0.0004
28,cutcp,4.875838,0:00:05,0.0003,0.0411,0.0004
30,cutcp,4.513200,0:00:05,0.0003,0.0393,0.0004
32,cutcp,4.320152,0:00:04,0.0003,0.0385,0.0004
34,cutcp,4.108621,0:00:04,0.0003,0.0374,0.0003
36,cutcp,3.917637,0:00:04,0.0003,0.0366,0.0003
38,cutcp,3.761633,0:00:04,0.0003,0.0361,0.0003
40,cutcp,3.542534,0:00:04,0.0002,0.0353,0.0003
42,cutcp,3.396237,0:00:03,0.0002,0.0346,0.0003
44,cutcp,3.270617,0:00:03,0.0002,0.0341,0.0003
46,cutcp,3.096024,0:00:03,0.0002,0.0342,0.0003
48,cutcp,3.035542,0:00:03,0.0002,0.0349,0.0003
50,cutcp,3.027431,0:00:03,0.0002,0.0354,0.0003
52,cutcp,2.902431,0:00:03,0.0002,0.0348,0.0003
54,cutcp,2.831579,0:00:03,0.0002,0.0346,0.0003
56,cutcp,2.751546,0:00:03,0.0002,0.0340,0.0003
58,cutcp,2.750378,0:00:03,0.0002,0.0344,0.0003
60,cutcp,2.534748,0:00:03,0.0002,0.0322,0.0003
62,cutcp,2.520901,0:00:03,0.0002,0.0323,0.0003
64,cutcp,2.486455,0:00:03,0.0002,0.0326,0.0003
66,cutcp,2.482697,0:00:03,0.0002,0.0329,0.0003
68,cutcp,2.344912,0:00:02,0.0002,0.0317,0.0003
70,cutcp,2.316855,0:00:02,0.0002,0.0318,0.0003
72,cutcp,2.235645,0:00:02,0.0002,0.0313,0.0003
74,cutcp,2.162250,0:00:02,0.0002,0.0308,0.0003
76,cutcp,2.140839,0:00:02,0.0002,0.0310,0.0003
78,cutcp,2.060144,0:00:02,0.0002,0.0303,0.0003
80,cutcp,2.058961,0:00:02,0.0002,0.0306,0.0003
82,cutcp,2.023212,0:00:02,0.0002,0.0308,0.0003
84,cutcp,1.952987,0:00:02,0.0002,0.0302,0.0003
86,cutcp,1.910661,0:00:02,0.0002,0.0301,0.0003
88,cutcp,1.877607,0:00:02,0.0002,0.0300,0.0003
