Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,histo,176.576553,0:02:57,0.0064,0.9019,0.0084
4,histo,1005.734558,0:16:46,0.0377,5.3490,0.0498
6,histo,1124.177856,0:18:44,0.0432,6.1186,0.0569
8,histo,1433.795410,0:23:54,0.0565,8.0136,0.0745
10,histo,1406.724243,0:23:27,0.0573,8.1303,0.0756
12,histo,1562.416870,0:26:03,0.0649,9.2042,0.0856
14,histo,1814.674072,0:30:15,0.0767,10.8730,0.1011
16,histo,1544.164185,0:25:44,0.0664,9.4139,0.0876
18,histo,2070.537842,0:34:31,0.0904,12.8191,0.1192
20,histo,1837.488403,0:30:38,0.0826,11.7086,0.1089
22,histo,1898.218750,0:31:38,0.0868,12.3001,0.1144
24,histo,2206.848877,0:36:47,0.1028,14.5812,0.1356
26,histo,2082.761475,0:34:43,0.0990,14.0358,0.1306
28,histo,2590.080078,0:43:10,0.1265,17.9366,0.1669
30,histo,2407.198486,0:40:07,0.1200,17.0141,0.1583
32,histo,2519.693604,0:42:00,0.1293,18.3298,0.1705
34,histo,2589.526611,0:43:10,0.1349,19.1224,0.1779
36,histo,2631.230713,0:43:51,0.1388,19.6780,0.1831
38,histo,2795.660156,0:46:36,0.1490,21.1281,0.1965
40,histo,2708.049561,0:45:08,0.1498,21.2444,0.1976
42,histo,2915.098145,0:48:35,0.1624,23.0295,0.2142
44,histo,2950.663818,0:49:11,0.1675,23.7458,0.2209
46,histo,2772.247314,0:46:12,0.1593,22.5912,0.2102
48,histo,2867.927979,0:47:48,0.1663,23.5712,0.2193
50,histo,2997.678955,0:49:58,0.1737,24.6293,0.2291
52,histo,2862.180420,0:47:42,0.1677,23.7782,0.2212
54,histo,2976.383789,0:49:37,0.1751,24.8266,0.2309
56,histo,2912.373047,0:48:32,0.1736,24.6156,0.2290
58,histo,2974.515869,0:49:35,0.1786,25.3198,0.2355
60,histo,2915.847168,0:48:36,0.1750,24.8163,0.2308
62,histo,3013.480957,0:50:14,0.1827,25.8960,0.2409
64,histo,3013.041260,0:50:13,0.1848,26.2017,0.2437
66,histo,3468.404541,0:57:49,0.2187,31.0004,0.2884
68,histo,3323.637207,0:55:24,0.2103,29.8171,0.2774
70,histo,3158.789795,0:52:39,0.2006,28.4384,0.2645
72,histo,NaN,NaN,NaN,NaN,NaN
