Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,hotspot,110.095,0:01:51,0.0037,0.3619,0.0034
4,hotspot,57.881,0:00:59,0.0021,0.2030,0.0019
6,hotspot,46.242,0:00:47,0.0017,0.1674,0.0016
8,hotspot,37.763,0:00:39,0.0014,0.1424,0.0013
10,hotspot,27.190,0:00:28,0.0011,0.1072,0.0010
12,hotspot,24.671,0:00:26,0.0010,0.0995,0.0009
14,hotspot,21.062,0:00:22,0.0009,0.0874,0.0008
16,hotspot,21.994,0:00:23,0.0009,0.0909,0.0008
18,hotspot,17.918,0:00:19,0.0008,0.0755,0.0007
20,hotspot,16.470,0:00:18,0.0007,0.0724,0.0007
22,hotspot,16.319,0:00:17,0.0007,0.0729,0.0007
24,hotspot,14.452,0:00:16,0.0007,0.0668,0.0006
26,hotspot,13.799,0:00:15,0.0006,0.0633,0.0006
28,hotspot,12.605,0:00:14,0.0006,0.0617,0.0006
30,hotspot,12.486,0:00:14,0.0006,0.0620,0.0006
32,hotspot,13.285,0:00:14,0.0007,0.0669,0.0006
34,hotspot,11.625,0:00:13,0.0006,0.0600,0.0006
36,hotspot,10.932,0:00:12,0.0006,0.0578,0.0005
38,hotspot,10.629,0:00:12,0.0006,0.0573,0.0005
40,hotspot,10.182,0:00:11,0.0006,0.0546,0.0005
42,hotspot,10.044,0:00:11,0.0006,0.0543,0.0005
44,hotspot,9.913,0:00:11,0.0005,0.0539,0.0005
46,hotspot,9.294,0:00:10,0.0006,0.0551,0.0005
48,hotspot,8.935,0:00:10,0.0006,0.0544,0.0005
50,hotspot,8.860,0:00:10,0.0006,0.0548,0.0005
52,hotspot,9.202,0:00:10,0.0006,0.0568,0.0005
54,hotspot,9.219,0:00:10,0.0006,0.0574,0.0005
56,hotspot,8.855,0:00:10,0.0006,0.0560,0.0005
58,hotspot,8.805,0:00:10,0.0006,0.0560,0.0005
60,hotspot,9.071,0:00:10,0.0006,0.0576,0.0005
62,hotspot,8.894,0:00:10,0.0006,0.0574,0.0005
64,hotspot,8.595,0:00:10,0.0006,0.0567,0.0005
66,hotspot,8.513,0:00:10,0.0006,0.0561,0.0005
68,hotspot,8.192,0:00:09,0.0005,0.0529,0.0005
70,hotspot,8.048,0:00:09,0.0005,0.0518,0.0005
72,hotspot,7.815,0:00:09,0.0005,0.0497,0.0005
74,hotspot,7.877,0:00:09,0.0005,0.0508,0.0005
76,hotspot,7.593,0:00:09,0.0004,0.0420,0.0004
78,hotspot,7.624,0:00:09,0.0005,0.0536,0.0005
80,hotspot,7.523,0:00:09,0.0005,0.0535,0.0005
82,hotspot,7.235,0:00:08,0.0005,0.0517,0.0005
84,hotspot,7.362,0:00:09,0.0005,0.0535,0.0005
86,hotspot,7.146,0:00:08,0.0005,0.0528,0.0005
88,hotspot,7.236,0:00:08,0.0005,0.0537,0.0005
