Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lbm,664.589478,0:11:07,0.0248,3.5143,0.0327
4,lbm,354.592651,0:05:57,0.0147,2.0791,0.0193
6,lbm,260.113464,0:04:23,0.0113,1.6078,0.0150
8,lbm,201.284470,0:03:24,0.0094,1.3312,0.0124
10,lbm,165.922668,0:02:49,0.0080,1.1325,0.0105
12,lbm,144.454697,0:02:27,0.0073,1.0415,0.0097
14,lbm,128.871689,0:02:12,0.0069,0.9734,0.0091
16,lbm,116.406700,0:01:59,0.0064,0.9023,0.0084
18,lbm,106.306267,0:01:49,0.0060,0.8477,0.0079
20,lbm,96.445251,0:01:39,0.0057,0.8012,0.0075
22,lbm,88.649551,0:01:31,0.0051,0.7299,0.0068
24,lbm,81.537132,0:01:24,0.0052,0.7376,0.0069
26,lbm,75.754120,0:01:18,0.0048,0.6749,0.0063
28,lbm,71.118050,0:01:14,0.0049,0.6978,0.0065
30,lbm,67.938866,0:01:11,0.0046,0.6585,0.0061
32,lbm,64.595039,0:01:07,0.0044,0.6308,0.0059
34,lbm,63.355656,0:01:06,0.0048,0.6802,0.0063
36,lbm,62.146915,0:01:05,0.0048,0.6816,0.0063
38,lbm,61.464748,0:01:04,0.0048,0.6844,0.0064
40,lbm,61.489258,0:01:04,0.0049,0.6914,0.0064
42,lbm,61.950478,0:01:05,0.0050,0.7106,0.0066
44,lbm,61.538212,0:01:04,0.0050,0.7057,0.0066
46,lbm,58.747425,0:01:01,0.0049,0.6984,0.0065
48,lbm,56.994743,0:01:00,0.0049,0.6910,0.0064
50,lbm,54.627014,0:00:57,0.0044,0.6197,0.0058
52,lbm,52.881386,0:00:56,0.0048,0.6761,0.0063
54,lbm,51.755569,0:00:54,0.0047,0.6706,0.0062
56,lbm,50.207523,0:00:53,0.0047,0.6678,0.0062
58,lbm,47.218700,0:00:50,0.0045,0.6410,0.0060
60,lbm,45.543411,0:00:48,0.0043,0.6137,0.0057
62,lbm,43.017593,0:00:46,0.0038,0.5330,0.0050
64,lbm,39.939182,0:00:43,0.0041,0.5816,0.0054
66,lbm,36.387802,0:00:39,0.0039,0.5533,0.0051
68,lbm,33.291370,0:00:36,0.0031,0.4349,0.0040
70,lbm,31.965612,0:00:35,0.0030,0.4283,0.0040
72,lbm,30.882210,0:00:33,0.0036,0.5045,0.0047
74,lbm,30.310024,0:00:33,0.0036,0.5077,0.0047
76,lbm,29.073620,0:00:32,0.0034,0.4846,0.0045
78,lbm,28.785133,0:00:32,0.0035,0.4997,0.0046
80,lbm,27.925447,0:00:31,0.0035,0.4948,0.0046
82,lbm,27.947824,0:00:31,0.0036,0.5036,0.0047
84,lbm,27.827829,0:00:30,0.0036,0.5069,0.0047
86,lbm,27.702406,0:00:30,0.0036,0.5111,0.0048
88,lbm,29.150108,0:00:32,0.0038,0.5383,0.0050
