Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lud,349730.061,0:05:50,0.0115,5.5087,0.0512
4,lud,175120.781,0:02:55,0.0060,2.9085,0.0271
6,lud,121975.423,0:02:02,0.0043,2.0831,0.0194
8,lud,92603.230,0:01:33,0.0034,1.6277,0.0151
10,lud,75715.588,0:01:16,0.0028,1.3666,0.0127
12,lud,63918.989,0:01:04,0.0024,1.1774,0.0110
14,lud,55947.837,0:00:56,0.0022,1.0490,0.0098
16,lud,50097.633,0:00:50,0.0020,0.9502,0.0088
18,lud,44827.626,0:00:45,0.0018,0.8612,0.0080
20,lud,40714.291,0:00:41,0.0017,0.8033,0.0075
22,lud,37150.045,0:00:37,0.0016,0.7512,0.0070
24,lud,34122.336,0:00:34,0.0015,0.7050,0.0066
26,lud,31794.524,0:00:32,0.0014,0.6718,0.0062
28,lud,29672.897,0:00:30,0.0013,0.6411,0.0060
30,lud,27927.646,0:00:28,0.0013,0.6149,0.0057
32,lud,26342.432,0:00:27,0.0012,0.5915,0.0055
34,lud,24993.476,0:00:25,0.0012,0.5719,0.0053
36,lud,23738.528,0:00:24,0.0011,0.5523,0.0051
38,lud,22617.345,0:00:23,0.0011,0.5356,0.0050
40,lud,21638.832,0:00:22,0.0011,0.5213,0.0048
42,lud,20748.633,0:00:21,0.0011,0.5073,0.0047
44,lud,20000.919,0:00:20,0.0010,0.4983,0.0046
46,lud,19956.060,0:00:20,0.0011,0.5071,0.0047
48,lud,20433.605,0:00:21,0.0011,0.5214,0.0049
50,lud,20431.028,0:00:21,0.0011,0.5229,0.0049
52,lud,19848.009,0:00:20,0.0011,0.5147,0.0048
54,lud,19378.591,0:00:20,0.0011,0.5095,0.0047
56,lud,18889.988,0:00:19,0.0010,0.5032,0.0047
58,lud,18526.864,0:00:19,0.0010,0.4956,0.0046
60,lud,18275.443,0:00:19,0.0010,0.4912,0.0046
62,lud,17675.695,0:00:18,0.0010,0.4801,0.0045
64,lud,17470.097,0:00:18,0.0010,0.4790,0.0045
66,lud,17001.926,0:00:17,0.0010,0.4735,0.0044
68,lud,16642.054,0:00:17,0.0010,0.4652,0.0043
70,lud,16449.911,0:00:17,0.0010,0.4664,0.0043
72,lud,16049.296,0:00:16,0.0010,0.4617,0.0043
74,lud,15955.549,0:00:16,0.0010,0.4615,0.0043
76,lud,15712.326,0:00:16,0.0010,0.4590,0.0043
78,lud,15469.938,0:00:16,0.0010,0.4575,0.0043
80,lud,15298.344,0:00:16,0.0010,0.4576,0.0043
82,lud,15118.002,0:00:15,0.0010,0.4579,0.0043
84,lud,14924.356,0:00:15,0.0010,0.4584,0.0043
86,lud,14901.635,0:00:15,0.0010,0.4608,0.0043
88,lud,14847.467,0:00:15,0.0010,0.4632,0.0043
