Treads,App,TimeCT,Energy,CO2eq,travelled
2,mri,0:00:01,0.0,0.0,0.0
4,mri,0:00:00,0.0,0.0,0.0
6,mri,0:00:00,0.0,0.0,0.0
8,mri,0:00:00,0.0,0.0,0.0
10,mri,0:00:00,0.0,0.0,0.0
12,mri,0:00:00,0.0,0.0,0.0
14,mri,0:00:00,0.0,0.0,0.0
16,mri,0:00:00,0.0,0.0,0.0
18,mri,0:00:00,0.0,0.0,0.0
20,mri,0:00:00,0.0,0.0,0.0
22,mri,0:00:00,0.0,0.0,0.0
24,mri,0:00:00,0.0,0.0,0.0
26,mri,0:00:00,0.0,0.0,0.0
28,mri,0:00:00,0.0,0.0,0.0
30,mri,0:00:00,0.0,0.0,0.0
32,mri,0:00:00,0.0,0.0,0.0
34,mri,0:00:00,0.0,0.0,0.0
36,mri,0:00:00,0.0,0.0,0.0
38,mri,0:00:00,0.0,0.0,0.0
40,mri,0:00:00,0.0,0.0,0.0
42,mri,0:00:01,0.0,0.0,0.0
44,mri,0:00:00,0.0,0.0,0.0
46,mri,0:00:00,0.0,0.0,0.0
48,mri,0:00:00,0.0,0.0,0.0
50,mri,0:00:00,0.0,0.0,0.0
52,mri,0:00:00,0.0,0.0,0.0
54,mri,0:00:00,0.0,0.0,0.0
56,mri,0:00:00,0.0,0.0,0.0
58,mri,0:00:00,0.0,0.0,0.0
60,mri,0:00:00,0.0,0.0,0.0
62,mri,0:00:00,0.0,0.0,0.0
64,mri,0:00:00,0.0,0.0,0.0
66,mri,0:00:00,0.0,0.0,0.0
68,mri,0:00:00,0.0,0.0,0.0
70,mri,0:00:00,0.0,0.0,0.0
72,mri,0:00:00,0.0,0.0,0.0
74,mri,0:00:00,0.0,0.0,0.0
76,mri,0:00:00,0.0,0.0,0.0
78,mri,0:00:00,0.0,0.0,0.0
80,mri,0:00:00,0.0,0.0,0.0
82,mri,0:00:00,0.0,0.0,0.0
84,mri,0:00:00,0.0,0.0,0.0
86,mri,0:00:00,0.0,0.0,0.0
88,mri,0:00:00,0.0,0.0,0.0
