Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,streamcluster,282.020886,0:04:42,0.0093,0.9189,0.0085
4,streamcluster,150.825109,0:02:31,0.0053,0.5198,0.0048
6,streamcluster,110.549511,0:01:51,0.0040,0.3923,0.0036
8,streamcluster,89.180961,0:01:29,0.0033,0.3256,0.0030
10,streamcluster,75.963420,0:01:16,0.0029,0.2835,0.0026
12,streamcluster,67.600537,0:01:08,0.0026,0.2565,0.0024
14,streamcluster,61.255565,0:01:01,0.0024,0.2353,0.0022
16,streamcluster,56.911658,0:00:57,0.0022,0.2211,0.0021
18,streamcluster,53.857924,0:00:54,0.0022,0.2115,0.0020
20,streamcluster,51.214192,0:00:51,0.0021,1.0001,0.0093
22,streamcluster,51.046066,0:00:51,0.0021,1.0060,0.0094
24,streamcluster,50.766957,0:00:51,0.0021,1.0120,0.0094
26,streamcluster,50.571239,0:00:51,0.0021,1.0192,0.0095
28,streamcluster,50.570840,0:00:51,0.0021,1.0300,0.0096
30,streamcluster,50.477081,0:00:50,0.0022,1.0395,0.0097
32,streamcluster,50.342740,0:00:50,0.0022,1.0482,0.0098
34,streamcluster,50.117032,0:00:50,0.0022,1.0542,0.0098
36,streamcluster,50.403326,0:00:50,0.0022,1.0683,0.0099
38,streamcluster,50.013073,0:00:50,0.0022,1.0710,0.0100
40,streamcluster,49.348452,0:00:49,0.0022,1.0707,0.0100
42,streamcluster,49.946257,0:00:50,0.0023,1.0898,0.0101
44,streamcluster,49.556667,0:00:50,0.0023,1.0922,0.0102
46,streamcluster,49.069504,0:00:49,0.0023,1.0919,0.0102
48,streamcluster,50.130173,0:00:50,0.0024,1.1364,0.0106
50,streamcluster,50.440164,0:00:50,0.0024,1.1509,0.0107
52,streamcluster,50.144305,0:00:50,0.0024,1.1566,0.0108
54,streamcluster,50.697849,0:00:51,0.0024,1.1738,0.0109
56,streamcluster,50.750569,0:00:51,0.0025,1.1831,0.0110
58,streamcluster,50.565253,0:00:51,0.0025,1.1871,0.0110
60,streamcluster,50.793640,0:00:51,0.0025,1.2009,0.0112
62,streamcluster,50.863417,0:00:51,0.0025,1.2096,0.0113
64,streamcluster,50.929870,0:00:51,0.0025,1.2239,0.0114
66,streamcluster,50.927944,0:00:51,0.0026,1.2377,0.0115
68,streamcluster,50.904664,0:00:51,0.0026,1.2520,0.0116
70,streamcluster,51.804594,0:00:52,0.0027,1.2889,0.0120
72,streamcluster,51.427339,0:00:51,0.0027,1.2887,0.0120
74,streamcluster,50.867231,0:00:51,0.0027,1.2815,0.0119
76,streamcluster,53.568338,0:00:54,0.0028,1.3684,0.0127
78,streamcluster,52.582628,0:00:53,0.0028,1.3422,0.0125
80,streamcluster,53.695212,0:00:54,0.0029,1.3737,0.0128
82,streamcluster,52.823075,0:00:53,0.0028,1.3475,0.0125
84,streamcluster,53.688824,0:00:54,0.0029,1.3819,0.0129
86,streamcluster,53.737046,0:00:54,0.0029,1.3868,0.0129
88,streamcluster,54.173337,0:00:54,0.0029,1.4001,0.0130
