Treads,App,Time,Energy,CO2eq,travelled
2,hotspot,118.5496,0.0018,0.2501,0.0023
4,hotspot,69.3556,0.0012,0.159,0.0015
6,hotspot,43.9143,0.0008,0.1082,0.001
8,hotspot,40.5568,0.0008,0.1068,0.001
10,hotspot,29.2242,0.0006,0.0809,0.0008
12,hotspot,24.6153,0.0005,0.0924,0.0009
14,hotspot,21.9049,0.0005,0.0869,0.0008
16,hotspot,22.7468,0.0005,0.0938,0.0009
18,hotspot,17.4201,0.0004,0.0759,0.0007
20,hotspot,16.5833,0.0004,0.0917,0.0008
22,hotspot,15.0965,0.0005,0.1021,0.0009
24,hotspot,14.0095,0.0005,0.0988,0.0009
26,hotspot,13.2329,0.0004,0.112,0.0011
28,hotspot,12.9984,0.0005,0.098,0.0009
30,hotspot,12.726,0.0005,0.1003,0.0009
32,hotspot,13.0247,0.0005,0.1035,0.001
34,hotspot,11.4224,0.0004,0.0748,0.0007
36,hotspot,11.0416,0.0004,0.0749,0.0007
38,hotspot,10.7874,0.0004,0.0765,0.0007
40,hotspot,10.5504,0.0004,0.0777,0.0007
