Treads,App,Time,Energy,CO2eq,travelled
2,lud,389566.3307,0.0058,1.0215,0.0095
4,lud,197513.8739,0.0032,0.5528,0.0052
6,lud,136583.3751,0.0023,0.4042,0.0038
8,lud,104521.4497,0.0019,0.3233,0.003
10,lud,84224.5541,0.0016,0.2759,0.0025
12,lud,70882.3105,0.0014,0.2447,0.0023
14,lud,60792.6165,0.0013,0.2202,0.0021
16,lud,53353.339,0.0012,0.2031,0.0019
18,lud,47520.0707,0.0011,0.1922,0.0018
20,lud,43165.8361,0.001,0.1826,0.0017
22,lud,37570.8294,0.0011,0.2349,0.0022
24,lud,35781.7847,0.0011,0.2309,0.0022
26,lud,33906.966,0.0011,0.2238,0.0021
28,lud,32106.0271,0.001,0.2173,0.002
30,lud,30355.8631,0.001,0.2091,0.002
32,lud,28681.2943,0.001,0.2028,0.0019
34,lud,27406.8449,0.0009,0.1991,0.0019
36,lud,26181.3885,0.0009,0.1954,0.0018
38,lud,25045.8076,0.0009,0.1917,0.0018
40,lud,23997.7553,0.0009,0.1875,0.0017
