Treads,App,Time,Energy,CO2eq,travelled
2,streamcluster,337.3364,0.0053,1.122,0.0104
4,streamcluster,179.891,0.003,0.6498,0.0061
6,streamcluster,133.433,0.0024,0.5089,0.0048
8,streamcluster,107.9898,0.002,0.4319,0.004
10,streamcluster,91.5317,0.0018,0.3869,0.0036
12,streamcluster,78.9646,0.0016,0.3513,0.0033
14,streamcluster,70.4907,0.0016,0.3316,0.0031
16,streamcluster,65.1831,0.0015,0.3214,0.003
18,streamcluster,61.9604,0.0015,0.3194,0.003
20,streamcluster,60.8627,0.0015,0.3271,0.003
22,streamcluster,58.5002,0.0016,0.3481,0.0032
24,streamcluster,56.7376,0.0016,0.3477,0.0032
26,streamcluster,55.5017,0.0016,0.3493,0.0032
28,streamcluster,54.0511,0.0016,0.3443,0.0032
30,streamcluster,52.9067,0.0016,0.3398,0.0032
32,streamcluster,51.378,0.0016,0.3374,0.0032
34,streamcluster,49.8967,0.0016,0.3354,0.0031
36,streamcluster,47.3905,0.0015,0.3226,0.003
38,streamcluster,48.7795,0.0016,0.3363,0.0031
40,streamcluster,48.8382,0.0016,0.3398,0.0032
