Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,bfs,3.724964,0:00:07,0.0002,0.0309,0.0003
4,bfs,4.418635,0:00:08,0.0002,0.0337,0.0003
6,bfs,4.796926,0:00:08,0.0002,0.0351,0.0003
8,bfs,5.254434,0:00:09,0.0003,0.0368,0.0003
10,bfs,5.977513,0:00:09,0.0003,0.0387,0.0004
12,bfs,6.336802,0:00:10,0.0003,0.0381,0.0004
14,bfs,6.640866,0:00:10,0.0003,0.0423,0.0004
16,bfs,6.943562,0:00:10,0.0003,0.0412,0.0004
18,bfs,7.380862,0:00:11,0.0003,0.0427,0.0004
20,bfs,7.555045,0:00:11,0.0003,0.0433,0.0004
22,bfs,10.001443,0:00:13,0.0004,0.0549,0.0005
24,bfs,10.802381,0:00:14,0.0004,0.0591,0.0005
26,bfs,11.669433,0:00:15,0.0005,0.0722,0.0007
28,bfs,13.680964,0:00:17,0.0007,0.1006,0.0009
30,bfs,14.521444,0:00:18,0.0007,0.1039,0.0010
32,bfs,16.032196,0:00:20,0.0008,0.1130,0.0011
34,bfs,16.702778,0:00:20,0.0009,0.1213,0.0011
36,bfs,17.544245,0:00:21,0.0009,0.1310,0.0012
38,bfs,18.840574,0:00:22,0.0010,0.1419,0.0013
40,bfs,19.740410,0:00:23,0.0009,0.1316,0.0012
