Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cutcp,59.301285,0:01:00,0.0018,0.2507,0.0023
4,cutcp,30.656506,0:00:31,0.0009,0.1333,0.0012
6,cutcp,22.902094,0:00:23,0.0007,0.1034,0.0010
8,cutcp,17.890839,0:00:18,0.0006,0.0808,0.0008
10,cutcp,14.882866,0:00:15,0.0005,0.0747,0.0007
12,cutcp,12.593589,0:00:13,0.0004,0.0622,0.0006
14,cutcp,10.752797,0:00:11,0.0004,0.0538,0.0005
16,cutcp,9.536304,0:00:10,0.0003,0.0465,0.0004
18,cutcp,8.440248,0:00:09,0.0003,0.0475,0.0004
20,cutcp,7.661877,0:00:08,0.0003,0.0453,0.0004
22,cutcp,7.053993,0:00:07,0.0003,0.0481,0.0004
24,cutcp,6.613707,0:00:07,0.0003,0.0420,0.0004
26,cutcp,6.447659,0:00:07,0.0003,0.0483,0.0004
28,cutcp,5.729384,0:00:06,0.0003,0.0388,0.0004
30,cutcp,5.384194,0:00:06,0.0003,0.0420,0.0004
32,cutcp,5.194722,0:00:06,0.0003,0.0369,0.0003
34,cutcp,4.947264,0:00:05,0.0003,0.0375,0.0003
36,cutcp,4.688690,0:00:05,0.0003,0.0396,0.0004
38,cutcp,4.576657,0:00:05,0.0003,0.0360,0.0003
40,cutcp,4.365949,0:00:05,0.0003,0.0400,0.0004
