Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,histo,219.025406,0:03:39,0.0063,2.9720,0.0276
4,histo,866.475586,0:14:27,0.0261,12.3919,0.1153
6,histo,943.098511,0:15:44,0.0292,13.8611,0.1289
8,histo,1079.775757,0:18:01,0.0347,16.4927,0.1534
10,histo,1207.156372,0:20:09,0.0402,19.0762,0.1775
12,histo,1322.106812,0:22:03,0.0459,21.8243,0.2030
14,histo,1701.475342,0:28:23,0.0612,29.0803,0.2705
16,histo,1670.594360,0:27:51,0.0631,29.9866,0.2789
18,histo,1759.462769,0:29:20,0.0694,32.9807,0.3068
20,histo,1764.100708,0:29:26,0.0716,34.0138,0.3164
22,histo,1838.161743,0:30:40,0.0757,35.9598,0.3345
24,histo,1848.848145,0:30:49,0.0779,36.9810,0.3440
26,histo,1967.882935,0:32:50,0.0844,40.0747,0.3728
28,histo,2845.725586,0:47:26,0.1493,70.9109,0.6596
30,histo,2608.105957,0:43:28,0.1348,64.0482,0.5958
32,histo,2522.426270,0:42:04,0.1313,62.3799,0.5803
34,histo,2716.859131,0:45:17,0.1478,70.1925,0.6530
36,histo,3076.747559,0:51:17,0.1759,24.9334,0.2319
38,histo,3044.215332,0:50:45,0.1754,24.8728,0.2314
40,histo,3180.493896,0:53:01,0.1893,26.8431,0.2497
