Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,hotspot,117.667,0:02:00,0.0018,0.1769,0.0016
4,hotspot,65.769,0:01:07,0.0011,0.1092,0.0010
6,hotspot,44.571,0:00:46,0.0008,0.0795,0.0007
8,hotspot,38.319,0:00:40,0.0007,0.0722,0.0007
10,hotspot,29.699,0:00:32,0.0006,0.0592,0.0006
12,hotspot,24.774,0:00:27,0.0005,0.2587,0.0024
14,hotspot,22.052,0:00:24,0.0005,0.2431,0.0023
16,hotspot,23.139,0:00:25,0.0005,0.2630,0.0024
18,hotspot,17.072,0:00:18,0.0004,0.2074,0.0019
20,hotspot,16.213,0:00:18,0.0004,0.2045,0.0019
22,hotspot,15.198,0:00:17,0.0005,0.2337,0.0022
24,hotspot,13.866,0:00:15,0.0005,0.2183,0.0020
26,hotspot,13.198,0:00:15,0.0004,0.2116,0.0020
28,hotspot,13.358,0:00:15,0.0005,0.2175,0.0020
30,hotspot,12.963,0:00:15,0.0005,0.2311,0.0021
32,hotspot,13.100,0:00:15,0.0005,0.2223,0.0021
34,hotspot,11.639,0:00:13,0.0004,0.2075,0.0019
36,hotspot,11.015,0:00:13,0.0004,0.1995,0.0019
38,hotspot,10.608,0:00:13,0.0004,0.2047,0.0019
40,hotspot,10.502,0:00:12,0.0004,0.2156,0.0020
