Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lbm,828.836182,0:13:53,0.0252,3.5712,0.0332
4,lbm,443.500641,0:07:29,0.0147,2.0776,0.0193
6,lbm,328.799866,0:05:34,0.0113,1.6058,0.0149
8,lbm,256.330261,0:04:21,0.0098,1.3837,0.0129
10,lbm,211.720688,0:03:37,0.0084,1.1871,0.0110
12,lbm,179.950302,0:03:05,0.0075,1.0634,0.0099
14,lbm,155.469421,0:02:40,0.0068,0.9711,0.0090
16,lbm,137.270035,0:02:22,0.0066,0.9333,0.0087
18,lbm,122.446297,0:02:07,0.0058,0.8281,0.0077
20,lbm,110.789146,0:01:56,0.0054,0.7700,0.0072
22,lbm,99.842339,0:01:44,0.0060,0.8535,0.0079
24,lbm,92.383018,0:01:36,0.0063,0.8978,0.0084
26,lbm,84.909149,0:01:29,0.0056,0.7902,0.0074
28,lbm,78.545029,0:01:23,0.0055,0.7727,0.0072
30,lbm,74.136421,0:01:19,0.0049,0.6935,0.0065
32,lbm,69.499260,0:01:14,0.0054,0.7629,0.0071
34,lbm,65.800285,0:01:10,0.0045,0.6410,0.0060
36,lbm,61.950333,0:01:06,0.0049,0.6951,0.0065
38,lbm,58.840294,0:01:03,0.0050,0.7022,0.0065
40,lbm,56.059113,0:01:00,0.0043,0.6084,0.0057
