Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lud,387880.175,0:06:28,0.0058,0.5677,0.0053
4,lud,198508.797,0:03:19,0.0032,0.3127,0.0029
6,lud,139304.788,0:02:20,0.0023,0.2305,0.0021
8,lud,105198.281,0:01:46,0.0019,0.1838,0.0017
10,lud,83750.700,0:01:24,0.0016,0.1536,0.0014
12,lud,69983.306,0:01:10,0.0014,0.1357,0.0013
14,lud,60974.479,0:01:01,0.0013,0.1247,0.0012
16,lud,53107.666,0:00:54,0.0012,0.1140,0.0011
18,lud,47236.403,0:00:48,0.0011,0.1067,0.0010
20,lud,42626.389,0:00:43,0.0010,0.1008,0.0009
22,lud,37223.167,0:00:38,0.0011,0.1077,0.0010
24,lud,35658.924,0:00:36,0.0011,0.1050,0.0010
26,lud,34125.099,0:00:34,0.0010,0.1032,0.0010
28,lud,32206.942,0:00:33,0.0010,0.1002,0.0009
30,lud,30169.492,0:00:31,0.0010,0.0965,0.0009
32,lud,28494.251,0:00:29,0.0009,0.0929,0.0009
34,lud,27306.070,0:00:28,0.0009,0.0915,0.0009
36,lud,26288.077,0:00:27,0.0009,0.0902,0.0008
38,lud,25498.771,0:00:26,0.0009,0.0887,0.0008
40,lud,24200.991,0:00:25,0.0009,0.0870,0.0008
