Treads,App,Time,Energy,CO2eq,travelled
2,hotspot,75.0564,0.0028,0.4833,0.0045
4,hotspot,39.5285,0.0016,0.2755,0.0026
6,hotspot,27.018,0.0012,0.2049,0.0019
8,hotspot,21.5503,0.001,0.1721,0.0016
10,hotspot,17.1756,0.0008,0.1471,0.0014
12,hotspot,14.9482,0.0008,0.1334,0.0012
14,hotspot,13.0029,0.0007,0.1204,0.0011
16,hotspot,11.7246,0.0006,0.1052,0.001
18,hotspot,10.5761,0.0005,0.096,0.0009
20,hotspot,9.7996,0.0005,0.0892,0.0009
22,hotspot,9.2477,0.0005,0.0867,0.0008
24,hotspot,8.8896,0.0005,0.083,0.0008
26,hotspot,8.2541,0.0004,0.0786,0.0007
28,hotspot,7.9022,0.0005,0.0787,0.0007
30,hotspot,7.5782,0.0004,0.0742,0.0007
32,hotspot,7.1413,0.0004,0.0794,0.0007
34,hotspot,6.9341,0.0004,0.079,0.0007
36,hotspot,6.7227,0.0004,0.079,0.0007
38,hotspot,6.5473,0.0004,0.0779,0.0007
40,hotspot,6.3992,0.0004,0.0772,0.0007
42,hotspot,6.3109,0.0004,0.0764,0.0007
44,hotspot,6.1975,0.0004,0.0752,0.0007
46,hotspot,6.146,0.0004,0.0747,0.0007
48,hotspot,6.0144,0.0004,0.0742,0.0007
