Treads,App,Time,Energy,CO2eq,travelled
2,lud,131056.5591,0.0047,0.8228,0.0076
4,lud,66434.0498,0.0026,0.4528,0.0042
6,lud,45246.4845,0.0019,0.332,0.0031
8,lud,39915.6208,0.0017,0.3031,0.0028
10,lud,39589.059,0.0017,0.3054,0.0028
12,lud,39460.0493,0.0018,0.3077,0.0029
14,lud,39295.2457,0.0018,0.3112,0.0029
16,lud,39119.0303,0.0018,0.3102,0.0029
18,lud,38998.7794,0.0018,0.3188,0.003
20,lud,38919.5132,0.0018,0.317,0.003
22,lud,38826.8603,0.0018,0.3219,0.003
24,lud,38738.2891,0.0018,0.3174,0.003
26,lud,35642.6143,0.0017,0.2991,0.0028
28,lud,32642.426,0.0016,0.2806,0.0026
30,lud,30391.5547,0.0015,0.2674,0.0025
32,lud,28870.7508,0.0015,0.262,0.0025
34,lud,27753.7165,0.0015,0.2588,0.0024
36,lud,27634.3466,0.0015,0.2606,0.0024
38,lud,27680.633,0.0015,0.2687,0.0025
40,lud,28274.5603,0.0016,0.2754,0.0026
42,lud,28986.9746,0.0016,0.2859,0.0027
44,lud,29213.2785,0.0016,0.2883,0.0027
46,lud,30321.9987,0.0017,0.2997,0.0028
48,lud,30978.8264,0.0018,0.3084,0.0029
