Treads,App,Time,Energy,CO2eq,travelled
2,streamcluster,356.7998,0.0126,2.2042,0.0205
4,streamcluster,188.6094,0.007,1.2282,0.0114
6,streamcluster,140.791,0.0055,0.9576,0.0089
8,streamcluster,134.2614,0.0054,0.9415,0.0087
10,streamcluster,133.7835,0.0055,0.9593,0.0089
12,streamcluster,133.7789,0.0055,0.9707,0.009
14,streamcluster,134.0156,0.0057,0.9872,0.0092
16,streamcluster,134.5535,0.0057,1.001,0.0093
18,streamcluster,135.0677,0.0058,1.0152,0.0094
20,streamcluster,135.3477,0.0058,1.0127,0.0094
22,streamcluster,135.6996,0.0058,1.0222,0.0095
24,streamcluster,136.2612,0.0058,1.0166,0.0094
26,streamcluster,135.3313,0.006,1.0382,0.0097
28,streamcluster,135.1166,0.006,1.0516,0.0098
30,streamcluster,132.7809,0.0061,1.0667,0.0099
32,streamcluster,128.615,0.006,1.0574,0.0098
34,streamcluster,121.2372,0.0058,1.0184,0.0095
36,streamcluster,101.5679,0.005,0.896,0.0083
38,streamcluster,94.4599,0.0047,0.8149,0.0076
40,streamcluster,94.3089,0.0047,0.8251,0.0077
42,streamcluster,92.8264,0.0047,0.8254,0.0077
44,streamcluster,96.9163,0.0049,0.872,0.0081
46,streamcluster,94.277,0.0048,0.8446,0.0078
48,streamcluster,95.412,0.0049,0.8459,0.0079
