Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,bfs,1.792000,0:00:04,0.0003,0.1340,0.0012
4,bfs,2.474506,0:00:05,0.0003,0.1544,0.0014
6,bfs,2.939102,0:00:05,0.0004,0.1701,0.0016
8,bfs,3.070894,0:00:05,0.0004,0.1757,0.0016
10,bfs,3.564981,0:00:06,0.0004,0.1917,0.0018
12,bfs,3.671085,0:00:06,0.0004,0.1959,0.0018
14,bfs,3.992389,0:00:06,0.0004,0.2081,0.0019
16,bfs,4.193578,0:00:06,0.0005,0.2154,0.0020
18,bfs,4.362484,0:00:07,0.0005,0.2191,0.0020
20,bfs,4.635135,0:00:07,0.0005,0.2311,0.0021
22,bfs,4.835795,0:00:07,0.0005,0.2447,0.0023
24,bfs,5.308995,0:00:08,0.0005,0.2612,0.0024
26,bfs,6.973501,0:00:09,0.0007,0.3114,0.0029
28,bfs,7.558176,0:00:10,0.0007,0.3304,0.0031
30,bfs,8.333272,0:00:11,0.0008,0.3604,0.0034
32,bfs,8.919756,0:00:11,0.0008,0.3800,0.0035
34,bfs,9.686699,0:00:12,0.0008,0.3922,0.0036
36,bfs,10.644142,0:00:13,0.0009,0.4305,0.0040
38,bfs,10.849469,0:00:13,0.0009,0.4385,0.0041
40,bfs,11.332593,0:00:14,0.0010,0.4673,0.0043
42,bfs,12.032910,0:00:14,0.0012,0.5602,0.0052
44,bfs,13.163862,0:00:15,0.0013,0.6259,0.0058
46,bfs,13.815751,0:00:16,0.0014,0.6528,0.0061
48,bfs,14.024379,0:00:16,0.0014,0.6740,0.0063
