Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cutcp,39.767834,0:00:40,0.0028,0.3944,0.0037
4,cutcp,20.213142,0:00:20,0.0015,0.2119,0.0020
6,cutcp,14.144321,0:00:14,0.0011,0.1554,0.0014
8,cutcp,10.702559,0:00:11,0.0009,0.1235,0.0011
10,cutcp,8.649439,0:00:09,0.0007,0.1038,0.0010
12,cutcp,7.392397,0:00:07,0.0006,0.0920,0.0009
14,cutcp,6.273399,0:00:06,0.0006,0.0816,0.0008
16,cutcp,5.629894,0:00:06,0.0005,0.0764,0.0007
18,cutcp,5.011128,0:00:05,0.0005,0.0702,0.0007
20,cutcp,4.609597,0:00:05,0.0005,0.0646,0.0006
22,cutcp,4.255706,0:00:04,0.0004,0.0594,0.0006
24,cutcp,4.073962,0:00:04,0.0004,0.0571,0.0005
26,cutcp,3.874281,0:00:04,0.0004,0.0566,0.0005
28,cutcp,3.529935,0:00:04,0.0004,0.0539,0.0005
30,cutcp,3.395757,0:00:03,0.0004,0.0536,0.0005
32,cutcp,3.219634,0:00:03,0.0004,0.0527,0.0005
34,cutcp,3.010388,0:00:03,0.0004,0.0510,0.0005
36,cutcp,2.916354,0:00:03,0.0004,0.0505,0.0005
38,cutcp,2.881351,0:00:03,0.0004,0.0512,0.0005
40,cutcp,2.587495,0:00:03,0.0003,0.0474,0.0004
42,cutcp,2.559490,0:00:03,0.0003,0.0484,0.0005
44,cutcp,2.443471,0:00:03,0.0003,0.0466,0.0004
46,cutcp,2.333524,0:00:02,0.0003,0.0450,0.0004
48,cutcp,2.377267,0:00:02,0.0003,0.0461,0.0004
