Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,histo,182.182770,0:03:02,0.0124,1.7584,0.0164
4,histo,704.962402,0:11:45,0.0489,6.9261,0.0644
6,histo,995.655884,0:16:36,0.0707,10.0272,0.0933
8,histo,1433.755249,0:23:54,0.1030,14.6090,0.1359
10,histo,1453.689819,0:24:14,0.1067,15.1326,0.1408
12,histo,1726.480957,0:28:47,0.1276,18.0856,0.1682
14,histo,1694.567383,0:28:15,0.1270,18.0075,0.1675
16,histo,1927.514038,0:32:08,0.1478,20.9531,0.1949
18,histo,1917.077026,0:31:57,0.1499,21.2463,0.1976
20,histo,1963.043335,0:32:43,0.1524,21.6034,0.2010
22,histo,2082.955078,0:34:43,0.1672,23.7066,0.2205
24,histo,2411.414307,0:40:12,0.1919,27.1997,0.2530
26,histo,3181.927979,0:53:02,0.2602,36.8902,0.3432
28,histo,3299.544678,0:55:00,0.2725,38.6386,0.3594
30,histo,3540.454346,0:59:01,0.2925,41.4760,0.3858
32,histo,3288.089111,0:54:48,0.2783,39.4503,0.3670
34,histo,2699.712646,0:45:00,0.2285,32.3985,0.3014
36,histo,2960.210449,0:49:20,0.2539,35.9999,0.3349
38,histo,3118.197266,0:51:58,0.2718,38.5277,0.3584
40,histo,3081.379639,0:51:22,0.2752,39.0113,0.3629
42,histo,3791.556885,1:03:12,0.3462,49.0775,0.4565
44,histo,3233.344238,0:53:53,0.2869,40.6805,0.3784
46,histo,4043.156006,1:07:23,0.3792,53.7592,0.5001
48,histo,4266.436035,1:11:07,0.4045,57.3531,0.5335
