Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,hotspot,75.144,0:01:16,0.0028,0.2713,0.0025
4,hotspot,39.570,0:00:41,0.0016,0.1559,0.0015
6,hotspot,27.312,0:00:29,0.0012,0.1171,0.0011
8,hotspot,21.591,0:00:23,0.0010,0.0976,0.0009
10,hotspot,17.165,0:00:19,0.0009,0.0848,0.0008
12,hotspot,14.862,0:00:16,0.0008,0.0753,0.0007
14,hotspot,12.968,0:00:14,0.0007,0.0666,0.0006
16,hotspot,11.709,0:00:12,0.0006,0.0589,0.0005
18,hotspot,10.633,0:00:11,0.0005,0.0538,0.0005
20,hotspot,9.823,0:00:11,0.0005,0.0494,0.0005
22,hotspot,9.231,0:00:10,0.0005,0.0479,0.0004
24,hotspot,8.816,0:00:10,0.0005,0.0470,0.0004
26,hotspot,8.244,0:00:09,0.0005,0.0446,0.0004
28,hotspot,7.887,0:00:09,0.0005,0.0449,0.0004
30,hotspot,7.532,0:00:09,0.0005,0.0445,0.0004
32,hotspot,7.112,0:00:09,0.0005,0.0471,0.0004
34,hotspot,6.918,0:00:08,0.0005,0.0462,0.0004
36,hotspot,6.731,0:00:08,0.0005,0.0457,0.0004
38,hotspot,6.538,0:00:08,0.0005,0.0456,0.0004
40,hotspot,6.434,0:00:08,0.0005,0.0449,0.0004
42,hotspot,6.244,0:00:08,0.0004,0.0442,0.0004
44,hotspot,6.214,0:00:08,0.0005,0.0445,0.0004
46,hotspot,6.090,0:00:07,0.0004,0.0424,0.0004
48,hotspot,5.974,0:00:07,0.0004,0.0429,0.0004
