Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lbm,521.578735,0:08:44,0.0366,5.1841,0.0482
4,lbm,278.888397,0:04:41,0.0209,2.9582,0.0275
6,lbm,195.808624,0:03:18,0.0158,2.2410,0.0208
8,lbm,178.395370,0:03:01,0.0151,2.1463,0.0200
10,lbm,183.636780,0:03:06,0.0158,2.2385,0.0208
12,lbm,186.918213,0:03:09,0.0160,2.2623,0.0210
14,lbm,188.460556,0:03:11,0.0165,2.3325,0.0217
16,lbm,188.501144,0:03:11,0.0167,2.3618,0.0220
18,lbm,189.263046,0:03:11,0.0170,2.4071,0.0224
20,lbm,190.436371,0:03:13,0.0171,2.4288,0.0226
22,lbm,190.457718,0:03:13,0.0174,2.4627,0.0229
24,lbm,191.421051,0:03:14,0.0172,2.4414,0.0227
26,lbm,178.247162,0:03:00,0.0163,2.3175,0.0216
28,lbm,166.320389,0:02:49,0.0154,2.1883,0.0204
30,lbm,155.462143,0:02:38,0.0147,2.0854,0.0194
32,lbm,146.655975,0:02:29,0.0142,2.0193,0.0188
34,lbm,137.027191,0:02:19,0.0137,1.9378,0.0180
36,lbm,127.310646,0:02:09,0.0131,1.8514,0.0172
38,lbm,123.588264,0:02:06,0.0129,1.8352,0.0171
40,lbm,113.589012,0:01:56,0.0123,1.7504,0.0163
42,lbm,109.065353,0:01:51,0.0118,1.6751,0.0156
44,lbm,103.432442,0:01:46,0.0119,1.6912,0.0157
46,lbm,100.296852,0:01:42,0.0117,1.6577,0.0154
48,lbm,95.977585,0:01:38,0.0115,1.6284,0.0151
