Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lud,131154.427,0:02:11,0.0047,0.4655,0.0043
4,lud,66418.622,0:01:07,0.0026,0.2530,0.0024
6,lud,45253.463,0:00:46,0.0019,0.1860,0.0017
8,lud,39813.732,0:00:40,0.0017,0.1719,0.0016
10,lud,39597.856,0:00:40,0.0018,0.1732,0.0016
12,lud,39447.892,0:00:40,0.0018,0.1747,0.0016
14,lud,39309.466,0:00:40,0.0018,0.1755,0.0016
16,lud,39125.820,0:00:39,0.0018,0.1777,0.0017
18,lud,39001.672,0:00:39,0.0018,0.1791,0.0017
20,lud,38916.293,0:00:39,0.0018,0.1796,0.0017
22,lud,38828.324,0:00:39,0.0018,0.1819,0.0017
24,lud,38753.916,0:00:39,0.0018,0.1783,0.0017
26,lud,35519.305,0:00:36,0.0017,0.1674,0.0016
28,lud,32603.128,0:00:33,0.0016,0.1575,0.0015
30,lud,30435.293,0:00:31,0.0015,0.1502,0.0014
32,lud,28897.003,0:00:29,0.0015,0.1473,0.0014
34,lud,27325.744,0:00:28,0.0015,0.1432,0.0013
36,lud,27240.908,0:00:28,0.0015,0.1454,0.0014
38,lud,27912.854,0:00:28,0.0015,0.1509,0.0014
40,lud,28468.605,0:00:29,0.0016,0.1559,0.0015
42,lud,28198.683,0:00:29,0.0016,0.1563,0.0015
44,lud,29141.172,0:00:29,0.0016,0.1615,0.0015
46,lud,30814.009,0:00:31,0.0017,0.1713,0.0016
48,lud,31157.014,0:00:31,0.0018,0.1738,0.0016
