Treads,App,TimeCT,Energy,CO2eq,travelled
2,mri,0:00:00,0.0000,0.0000,0.0000
4,mri,0:00:00,0.0000,0.0000,0.0000
6,mri,0:00:00,0.0000,0.0000,0.0000
8,mri,0:00:00,0.0000,0.0000,0.0000
10,mri,0:00:01,0.0001,0.0099,0.0001
12,mri,0:00:00,0.0000,0.0000,0.0000
14,mri,0:00:00,0.0000,0.0000,0.0000
16,mri,0:00:00,0.0000,0.0000,0.0000
18,mri,0:00:00,0.0000,0.0000,0.0000
20,mri,0:00:00,0.0000,0.0000,0.0000
22,mri,0:00:00,0.0000,0.0000,0.0000
24,mri,0:00:00,0.0000,0.0000,0.0000
26,mri,0:00:00,0.0000,0.0000,0.0000
28,mri,0:00:01,0.0001,0.0084,0.0001
30,mri,0:00:01,0.0001,0.0081,0.0001
32,mri,0:00:01,0.0000,0.0000,0.0000
34,mri,0:00:00,0.0000,0.0000,0.0000
36,mri,0:00:00,0.0000,0.0000,0.0000
38,mri,0:00:00,0.0000,0.0000,0.0000
40,mri,0:00:00,0.0000,0.0000,0.0000
42,mri,0:00:00,0.0000,0.0022,0.0000
44,mri,0:00:00,0.0000,0.0000,0.0000
46,mri,0:00:00,0.0000,0.0000,0.0000
48,mri,0:00:00,0.0000,0.0000,0.0000
