Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,streamcluster,356.829821,0:05:57,0.0126,1.2380,0.0115
4,streamcluster,188.579074,0:03:09,0.0070,0.6905,0.0064
6,streamcluster,140.728939,0:02:21,0.0055,0.5379,0.0050
8,streamcluster,134.138638,0:02:14,0.0054,0.5267,0.0049
10,streamcluster,133.708284,0:02:14,0.0055,0.5384,0.0050
12,streamcluster,133.750290,0:02:14,0.0056,0.5471,0.0051
14,streamcluster,133.996635,0:02:14,0.0057,0.5566,0.0052
16,streamcluster,134.464895,0:02:14,0.0057,0.5646,0.0053
18,streamcluster,135.077355,0:02:15,0.0058,0.5688,0.0053
20,streamcluster,135.323485,0:02:15,0.0058,0.5675,0.0053
22,streamcluster,135.647265,0:02:16,0.0058,0.5737,0.0053
24,streamcluster,136.268956,0:02:16,0.0057,0.5636,0.0052
26,streamcluster,135.292432,0:02:15,0.0060,0.5854,0.0054
28,streamcluster,135.833727,0:02:16,0.0061,0.5999,0.0056
30,streamcluster,132.930287,0:02:13,0.0061,0.5984,0.0056
32,streamcluster,127.857103,0:02:08,0.0060,0.5924,0.0055
34,streamcluster,118.981442,0:01:59,0.0057,0.5629,0.0052
36,streamcluster,104.582856,0:01:45,0.0051,0.5028,0.0047
38,streamcluster,97.734072,0:01:38,0.0049,0.4775,0.0044
40,streamcluster,91.908027,0:01:32,0.0046,0.4539,0.0042
42,streamcluster,89.640900,0:01:30,0.0045,0.4410,0.0041
44,streamcluster,101.522723,0:01:42,0.0051,0.5038,0.0047
46,streamcluster,93.345492,0:01:33,0.0048,0.4707,0.0044
48,streamcluster,100.359190,0:01:40,0.0051,0.5051,0.0047
