Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,backprop,25044.188,0:00:25,0.0008,0.3992,0.0037
4,backprop,19784.091,0:00:20,0.0007,0.3191,0.0030
6,backprop,17997.268,0:00:18,0.0006,0.2905,0.0027
8,backprop,17113.080,0:00:17,0.0006,0.2778,0.0026
10,backprop,16731.836,0:00:17,0.0006,0.2710,0.0025
12,backprop,17686.335,0:00:18,0.0006,0.2864,0.0027
14,backprop,16789.877,0:00:17,0.0006,0.2708,0.0025
16,backprop,15456.946,0:00:15,0.0005,0.2505,0.0023
18,backprop,15886.869,0:00:16,0.0005,0.2587,0.0024
20,backprop,15427.720,0:00:15,0.0005,0.2503,0.0023
22,backprop,15404.262,0:00:15,0.0005,0.2496,0.0023
24,backprop,15426.095,0:00:15,0.0005,0.2504,0.0023
26,backprop,15755.946,0:00:16,0.0005,0.2552,0.0024
28,backprop,15439.554,0:00:15,0.0005,0.2503,0.0023
30,backprop,15476.968,0:00:15,0.0005,0.2508,0.0023
32,backprop,15869.613,0:00:16,0.0005,0.2576,0.0024
34,backprop,15427.127,0:00:15,0.0005,0.2508,0.0023
36,backprop,15408.413,0:00:15,0.0005,0.2500,0.0023
38,backprop,15903.932,0:00:16,0.0005,0.2585,0.0024
40,backprop,15467.647,0:00:15,0.0005,0.2509,0.0023
42,backprop,15500.567,0:00:16,0.0005,0.2515,0.0023
44,backprop,15448.039,0:00:15,0.0005,0.2506,0.0023
46,backprop,15455.598,0:00:15,0.0005,0.2509,0.0023
48,backprop,15409.974,0:00:15,0.0005,0.2503,0.0023
50,backprop,15440.679,0:00:15,0.0005,0.2502,0.0023
52,backprop,15513.699,0:00:16,0.0005,0.2517,0.0023
54,backprop,15546.325,0:00:16,0.0005,0.2521,0.0023
56,backprop,15419.662,0:00:15,0.0005,0.2503,0.0023
58,backprop,15487.447,0:00:15,0.0005,0.2511,0.0023
60,backprop,15448.838,0:00:15,0.0005,0.2511,0.0023
62,backprop,15490.976,0:00:15,0.0005,0.2514,0.0023
64,backprop,15591.052,0:00:16,0.0005,0.2528,0.0024
66,backprop,15578.981,0:00:16,0.0005,0.2526,0.0024
68,backprop,15331.273,0:00:15,0.0005,0.2492,0.0023
70,backprop,15447.658,0:00:15,0.0005,0.2503,0.0023
72,backprop,15754.673,0:00:16,0.0005,0.2556,0.0024
74,backprop,15477.516,0:00:15,0.0005,0.2510,0.0023
76,backprop,15462.185,0:00:15,0.0005,0.2508,0.0023
78,backprop,15491.229,0:00:15,0.0005,0.2512,0.0023
80,backprop,15502.686,0:00:16,0.0005,0.2515,0.0023
82,backprop,15336.770,0:00:15,0.0005,0.2492,0.0023
84,backprop,15479.279,0:00:15,0.0005,0.2511,0.0023
86,backprop,15453.484,0:00:15,0.0005,0.2508,0.0023
88,backprop,15448.726,0:00:15,0.0005,0.2512,0.0023
