Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cfd,116655.405,0:01:57,0.0038,1.8458,0.0172
4,cfd,60783.537,0:01:01,0.0021,1.0017,0.0093
6,cfd,43257.335,0:00:43,0.0015,0.7329,0.0068
8,cfd,34001.459,0:00:34,0.0012,0.5952,0.0055
10,cfd,28575.958,0:00:29,0.0010,0.4993,0.0046
12,cfd,24946.876,0:00:25,0.0009,0.4535,0.0042
14,cfd,22305.793,0:00:22,0.0009,0.4127,0.0038
16,cfd,20586.089,0:00:21,0.0008,0.3836,0.0036
18,cfd,18652.501,0:00:19,0.0007,0.3503,0.0033
20,cfd,17441.799,0:00:17,0.0007,0.3298,0.0031
22,cfd,15694.964,0:00:16,0.0006,0.3037,0.0028
24,cfd,14798.136,0:00:15,0.0006,0.2937,0.0027
26,cfd,13713.935,0:00:14,0.0006,0.2745,0.0026
28,cfd,12760.282,0:00:13,0.0005,0.2612,0.0024
30,cfd,12091.456,0:00:12,0.0005,0.2518,0.0023
32,cfd,11437.428,0:00:11,0.0005,0.2359,0.0022
34,cfd,10924.654,0:00:11,0.0005,0.2226,0.0021
36,cfd,10551.080,0:00:11,0.0005,0.2285,0.0021
38,cfd,9939.349,0:00:10,0.0005,0.2188,0.0020
40,cfd,9535.495,0:00:10,0.0004,0.2070,0.0019
42,cfd,9226.473,0:00:09,0.0004,0.1989,0.0018
44,cfd,9059.434,0:00:09,0.0004,0.1939,0.0018
46,cfd,8941.051,0:00:09,0.0004,0.1958,0.0018
48,cfd,8832.075,0:00:09,0.0004,0.2114,0.0020
50,cfd,8717.761,0:00:09,0.0004,0.2119,0.0020
52,cfd,8498.564,0:00:08,0.0004,0.2078,0.0019
54,cfd,8329.927,0:00:08,0.0004,0.2055,0.0019
56,cfd,8065.209,0:00:08,0.0004,0.2027,0.0019
58,cfd,7943.088,0:00:08,0.0004,0.1987,0.0018
60,cfd,7711.166,0:00:08,0.0004,0.1897,0.0018
62,cfd,7487.797,0:00:07,0.0004,0.1812,0.0017
64,cfd,7479.556,0:00:07,0.0004,0.1824,0.0017
66,cfd,7374.494,0:00:07,0.0004,0.1768,0.0016
68,cfd,7299.987,0:00:07,0.0004,0.1763,0.0016
70,cfd,7129.214,0:00:07,0.0004,0.1697,0.0016
72,cfd,6943.109,0:00:07,0.0003,0.1624,0.0015
74,cfd,6953.001,0:00:07,0.0003,0.1637,0.0015
76,cfd,6823.879,0:00:07,0.0004,0.1797,0.0017
78,cfd,6821.475,0:00:07,0.0004,0.1797,0.0017
80,cfd,6574.889,0:00:07,0.0004,0.1757,0.0016
82,cfd,6570.308,0:00:07,0.0004,0.1795,0.0017
84,cfd,6332.700,0:00:06,0.0004,0.1745,0.0016
86,cfd,6595.286,0:00:07,0.0004,0.1799,0.0017
88,cfd,6497.933,0:00:06,0.0004,0.1798,0.0017
