Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,kmeans,275182.487,0:04:35,0.0090,4.3253,0.0402
4,kmeans,139886.501,0:02:20,0.0048,2.3233,0.0216
6,kmeans,98732.632,0:01:39,0.0035,1.6850,0.0157
8,kmeans,76458.373,0:01:16,0.0028,1.3452,0.0125
10,kmeans,63251.758,0:01:03,0.0024,1.1415,0.0106
12,kmeans,54562.880,0:00:55,0.0021,1.0042,0.0093
14,kmeans,48598.644,0:00:49,0.0019,0.9090,0.0085
16,kmeans,43929.073,0:00:44,0.0017,0.8292,0.0077
18,kmeans,40041.168,0:00:40,0.0015,0.7397,0.0069
20,kmeans,36186.010,0:00:36,0.0015,0.7082,0.0066
22,kmeans,32875.383,0:00:33,0.0014,0.6577,0.0061
24,kmeans,30283.875,0:00:30,0.0013,0.6188,0.0058
26,kmeans,27960.688,0:00:28,0.0012,0.5829,0.0054
28,kmeans,26142.094,0:00:26,0.0012,0.5560,0.0052
30,kmeans,24386.840,0:00:24,0.0011,0.5295,0.0049
32,kmeans,22952.345,0:00:23,0.0011,0.5055,0.0047
34,kmeans,21919.879,0:00:22,0.0010,0.4937,0.0046
36,kmeans,20602.527,0:00:21,0.0010,0.4713,0.0044
38,kmeans,19566.287,0:00:20,0.0009,0.4567,0.0042
40,kmeans,18637.281,0:00:19,0.0009,0.4409,0.0041
42,kmeans,17709.315,0:00:18,0.0009,0.4271,0.0040
44,kmeans,17027.186,0:00:17,0.0009,0.4166,0.0039
46,kmeans,16280.967,0:00:16,0.0009,0.4118,0.0038
48,kmeans,15775.191,0:00:16,0.0008,0.4080,0.0038
50,kmeans,15130.610,0:00:15,0.0008,0.3968,0.0037
52,kmeans,14732.366,0:00:15,0.0008,0.3900,0.0036
54,kmeans,14031.275,0:00:14,0.0008,0.3777,0.0035
56,kmeans,13720.754,0:00:14,0.0008,0.3737,0.0035
58,kmeans,13168.294,0:00:13,0.0008,0.3636,0.0034
60,kmeans,12935.823,0:00:13,0.0007,0.3540,0.0033
62,kmeans,12665.335,0:00:13,0.0007,0.3498,0.0033
64,kmeans,12406.738,0:00:12,0.0007,0.3472,0.0032
66,kmeans,11920.704,0:00:12,0.0007,0.3388,0.0032
68,kmeans,11613.354,0:00:12,0.0007,0.3341,0.0031
70,kmeans,11306.803,0:00:11,0.0007,0.3300,0.0031
72,kmeans,11180.719,0:00:11,0.0007,0.3296,0.0031
74,kmeans,10804.079,0:00:11,0.0007,0.3182,0.0030
76,kmeans,10781.552,0:00:11,0.0007,0.3201,0.0030
78,kmeans,10211.315,0:00:10,0.0006,0.3083,0.0029
80,kmeans,10141.460,0:00:10,0.0006,0.3083,0.0029
82,kmeans,9794.692,0:00:10,0.0006,0.3023,0.0028
84,kmeans,9820.196,0:00:10,0.0006,0.3064,0.0029
86,kmeans,9333.131,0:00:09,0.0006,0.2955,0.0027
88,kmeans,9382.086,0:00:09,0.0006,0.2988,0.0028
