Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,leukocyte,423648.834,0:07:04,0.0050,2.3975,0.0223
4,leukocyte,221337.672,0:03:41,0.0030,1.4342,0.0133
6,leukocyte,156684.749,0:02:37,0.0022,1.0793,0.0100
8,leukocyte,134547.408,0:02:15,0.0020,0.9770,0.0091
10,leukocyte,131845.283,0:02:12,0.0020,0.9573,0.0089
12,leukocyte,90857.097,0:01:31,0.0015,0.7418,0.0069
14,leukocyte,90188.041,0:01:30,0.0015,0.7359,0.0068
16,leukocyte,87918.169,0:01:28,0.0015,0.7188,0.0067
18,leukocyte,68380.102,0:01:08,0.0013,0.6118,0.0057
20,leukocyte,67644.945,0:01:08,0.0013,0.6109,0.0057
22,leukocyte,66991.036,0:01:07,0.0013,0.6105,0.0057
24,leukocyte,67615.005,0:01:08,0.0013,0.6182,0.0058
26,leukocyte,65614.313,0:01:06,0.0013,0.6143,0.0057
28,leukocyte,65114.824,0:01:05,0.0013,0.6027,0.0056
30,leukocyte,70256.444,0:01:10,0.0013,0.6246,0.0058
32,leukocyte,60358.967,0:01:00,0.0012,0.5777,0.0054
34,leukocyte,59763.097,0:01:00,0.0012,0.5611,0.0052
36,leukocyte,43858.834,0:00:44,0.0010,0.4852,0.0045
38,leukocyte,41392.323,0:00:41,0.0010,0.4708,0.0044
40,leukocyte,41581.377,0:00:42,0.0010,0.4725,0.0044
42,leukocyte,41273.835,0:00:41,0.0010,0.4671,0.0043
44,leukocyte,43718.849,0:00:44,0.0010,0.4866,0.0045
46,leukocyte,41346.681,0:00:41,0.0010,0.4710,0.0044
48,leukocyte,42266.372,0:00:42,0.0010,0.4748,0.0044
50,leukocyte,40338.618,0:00:40,0.0009,0.4445,0.0041
52,leukocyte,41195.000,0:00:41,0.0010,0.4729,0.0044
54,leukocyte,40875.660,0:00:41,0.0010,0.4706,0.0044
56,leukocyte,42342.113,0:00:42,0.0010,0.4804,0.0045
58,leukocyte,42253.924,0:00:42,0.0010,0.4758,0.0044
60,leukocyte,39935.086,0:00:40,0.0010,0.4681,0.0044
62,leukocyte,40225.134,0:00:40,0.0010,0.4698,0.0044
64,leukocyte,43128.016,0:00:43,0.0010,0.4851,0.0045
66,leukocyte,39287.639,0:00:39,0.0010,0.4634,0.0043
68,leukocyte,52138.176,0:00:52,0.0011,0.5324,0.0050
70,leukocyte,39552.165,0:00:40,0.0010,0.4620,0.0043
72,leukocyte,41542.394,0:00:42,0.0010,0.4773,0.0044
74,leukocyte,54923.232,0:00:55,0.0011,0.5433,0.0051
76,leukocyte,42918.695,0:00:43,0.0010,0.4737,0.0044
78,leukocyte,42202.119,0:00:42,0.0010,0.4763,0.0044
80,leukocyte,56802.142,0:00:57,0.0012,0.5608,0.0052
82,leukocyte,58183.645,0:00:58,0.0012,0.5626,0.0052
84,leukocyte,57465.669,0:00:57,0.0012,0.5654,0.0053
86,leukocyte,58618.614,0:00:59,0.0012,0.5687,0.0053
88,leukocyte,46495.378,0:00:46,0.0010,0.4968,0.0046
