Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,srad,149049.611,0:02:29,0.0049,0.4789,0.0045
4,srad,74455.692,0:01:14,0.0026,0.2512,0.0023
6,srad,52672.654,0:00:53,0.0019,0.1826,0.0017
8,srad,42615.391,0:00:43,0.0015,0.1517,0.0014
10,srad,33972.943,0:00:34,0.0013,0.1243,0.0012
12,srad,29048.573,0:00:29,0.0011,0.1082,0.0010
14,srad,26588.446,0:00:27,0.0010,0.1010,0.0009
16,srad,24993.174,0:00:25,0.0010,0.0953,0.0009
18,srad,22876.244,0:00:23,0.0009,0.0889,0.0008
20,srad,20937.293,0:00:21,0.0008,0.0825,0.0008
22,srad,19275.576,0:00:19,0.0008,0.0781,0.0007
24,srad,18170.053,0:00:18,0.0008,0.0753,0.0007
26,srad,16990.684,0:00:17,0.0007,0.0712,0.0007
28,srad,16286.891,0:00:16,0.0007,0.0699,0.0007
30,srad,15398.310,0:00:15,0.0007,0.0674,0.0006
32,srad,14569.405,0:00:15,0.0007,0.0649,0.0006
34,srad,14607.117,0:00:15,0.0007,0.0656,0.0006
36,srad,14131.480,0:00:14,0.0007,0.0643,0.0006
38,srad,13686.517,0:00:14,0.0006,0.0633,0.0006
40,srad,13182.868,0:00:13,0.0006,0.0622,0.0006
42,srad,12690.668,0:00:13,0.0006,0.0605,0.0006
44,srad,12356.352,0:00:12,0.0006,0.0599,0.0006
46,srad,11817.878,0:00:12,0.0006,0.0589,0.0005
48,srad,11366.421,0:00:11,0.0006,0.0578,0.0005
50,srad,10908.201,0:00:11,0.0006,0.0551,0.0005
52,srad,10571.092,0:00:11,0.0006,0.0550,0.0005
54,srad,10205.825,0:00:10,0.0005,0.0540,0.0005
56,srad,9898.872,0:00:10,0.0005,0.0530,0.0005
58,srad,9686.979,0:00:10,0.0005,0.0526,0.0005
60,srad,9441.415,0:00:09,0.0005,0.0518,0.0005
62,srad,9097.225,0:00:09,0.0005,0.0504,0.0005
64,srad,8504.448,0:00:09,0.0005,0.0478,0.0004
66,srad,8498.620,0:00:08,0.0005,0.0482,0.0004
68,srad,8430.490,0:00:08,0.0005,0.0485,0.0005
70,srad,8197.595,0:00:08,0.0005,0.0478,0.0004
72,srad,7966.486,0:00:08,0.0005,0.0472,0.0004
74,srad,7836.600,0:00:08,0.0005,0.0468,0.0004
76,srad,7647.877,0:00:08,0.0005,0.0464,0.0004
78,srad,7493.451,0:00:07,0.0005,0.0461,0.0004
80,srad,7408.080,0:00:07,0.0005,0.0459,0.0004
82,srad,7202.430,0:00:07,0.0005,0.0453,0.0004
84,srad,7067.569,0:00:07,0.0005,0.0450,0.0004
86,srad,7008.279,0:00:07,0.0005,0.0446,0.0004
88,srad,6784.775,0:00:07,0.0004,0.0439,0.0004
