Treads,App,Time,Energy,CO2eq,travelled
2,backprop,24.9037,0.0008,0.3348,0.0031
4,backprop,19.7455,0.0007,0.2673,0.0025
6,backprop,18.4646,0.0006,0.252,0.0024
8,backprop,17.1633,0.0006,0.2332,0.0022
10,backprop,17.0068,0.0006,0.2322,0.0022
12,backprop,16.9783,0.0006,0.2318,0.0022
14,backprop,16.8981,0.0006,0.2295,0.0021
16,backprop,15.6119,0.0005,0.2125,0.002
18,backprop,15.5744,0.0005,0.2124,0.002
20,backprop,15.4282,0.0005,0.21,0.0019
22,backprop,15.4921,0.0005,0.2112,0.002
24,backprop,15.5187,0.0005,0.2114,0.002
26,backprop,15.509,0.0005,0.2113,0.002
28,backprop,15.5385,0.0005,0.212,0.002
30,backprop,15.4839,0.0005,0.2111,0.002
32,backprop,15.6627,0.0005,0.2133,0.002
34,backprop,15.5671,0.0005,0.2122,0.002
36,backprop,15.4883,0.0005,0.2113,0.002
38,backprop,15.5128,0.0005,0.2116,0.002
40,backprop,15.5395,0.0005,0.2122,0.002
42,backprop,15.503,0.0005,0.2116,0.002
44,backprop,15.5613,0.0005,0.2112,0.002
46,backprop,15.5282,0.0005,0.2121,0.002
48,backprop,15.4633,0.0005,0.211,0.0019
50,backprop,15.5519,0.0005,0.212,0.002
52,backprop,15.5706,0.0005,0.2122,0.002
54,backprop,15.5475,0.0005,0.2122,0.002
56,backprop,15.4844,0.0005,0.2112,0.002
58,backprop,15.5343,0.0005,0.2118,0.002
60,backprop,15.523,0.0005,0.2118,0.002
62,backprop,15.499,0.0005,0.2116,0.002
64,backprop,15.4978,0.0005,0.2116,0.002
66,backprop,15.5769,0.0005,0.2122,0.002
68,backprop,15.5611,0.0005,0.2127,0.002
70,backprop,15.5833,0.0005,0.2118,0.002
72,backprop,15.529,0.0005,0.2119,0.002
74,backprop,15.608,0.0005,0.2133,0.002
76,backprop,15.4862,0.0005,0.2116,0.002
78,backprop,15.5616,0.0005,0.2128,0.002
80,backprop,15.6275,0.0005,0.2141,0.002
82,backprop,15.5572,0.0005,0.2122,0.002
84,backprop,15.7812,0.0005,0.2161,0.002
86,backprop,15.5188,0.0005,0.212,0.002
88,backprop,15.671,0.0005,0.2135,0.002
