Treads,App,Time,Energy,CO2eq,travelled
2,cfd,117.1752,0.0038,1.559,0.0145
4,cfd,61.1756,0.0021,0.8522,0.0079
6,cfd,43.4799,0.0015,0.6194,0.0058
8,cfd,34.2123,0.0012,0.5031,0.0047
10,cfd,28.6774,0.0011,0.4295,0.004
12,cfd,24.9872,0.0009,0.3809,0.0035
14,cfd,22.4032,0.0009,0.3475,0.0032
16,cfd,20.4144,0.0008,0.3195,0.003
18,cfd,18.7545,0.0007,0.2948,0.0028
20,cfd,17.1146,0.0007,0.2707,0.0025
22,cfd,15.7289,0.0006,0.2558,0.0024
24,cfd,14.6202,0.0006,0.2418,0.0022
26,cfd,13.5846,0.0006,0.2279,0.0021
28,cfd,12.7836,0.0005,0.2186,0.002
30,cfd,12.105,0.0005,0.2123,0.002
32,cfd,11.4898,0.0005,0.2004,0.0019
34,cfd,10.9095,0.0005,0.1911,0.0018
36,cfd,10.4006,0.0005,0.19,0.0018
38,cfd,9.9919,0.0005,0.1853,0.0017
40,cfd,9.5843,0.0004,0.1753,0.0016
42,cfd,9.2863,0.0004,0.1686,0.0016
44,cfd,9.0018,0.0004,0.1618,0.0015
46,cfd,9.0118,0.0004,0.1664,0.0015
48,cfd,8.8405,0.0004,0.1932,0.0018
50,cfd,8.8087,0.0004,0.1951,0.0018
52,cfd,8.5721,0.0004,0.1938,0.0018
54,cfd,8.2941,0.0004,0.185,0.0017
56,cfd,8.0502,0.0004,0.1863,0.0018
58,cfd,7.8839,0.0004,0.1798,0.0017
60,cfd,7.7569,0.0004,0.1767,0.0017
62,cfd,7.553,0.0004,0.1681,0.0016
64,cfd,7.4236,0.0004,0.1642,0.0015
66,cfd,7.2953,0.0004,0.16,0.0015
68,cfd,7.2871,0.0004,0.1609,0.0015
70,cfd,7.1888,0.0004,0.1577,0.0015
72,cfd,7.0226,0.0003,0.1518,0.0014
74,cfd,6.9247,0.0003,0.1555,0.0014
76,cfd,6.9069,0.0004,0.1586,0.0015
78,cfd,6.7705,0.0004,0.1635,0.0015
80,cfd,6.6004,0.0004,0.1633,0.0015
82,cfd,6.6013,0.0004,0.1643,0.0015
84,cfd,6.404,0.0004,0.1617,0.0015
86,cfd,6.3711,0.0004,0.1622,0.0015
88,cfd,6.3615,0.0004,0.1627,0.0015
