Treads,App,Time,Energy,CO2eq,travelled
2,kmeans,275.1631,0.009,3.2966,0.0306
4,kmeans,139.8402,0.0048,1.7699,0.0165
6,kmeans,98.7641,0.0035,1.2835,0.0119
8,kmeans,76.4925,0.0028,1.0261,0.0096
10,kmeans,63.2404,0.0024,0.8693,0.0081
12,kmeans,54.5927,0.0021,0.7653,0.0071
14,kmeans,48.5058,0.0019,0.6888,0.0064
16,kmeans,43.977,0.0017,0.6981,0.0065
18,kmeans,40.0844,0.0016,0.6409,0.006
20,kmeans,36.2293,0.0015,0.5954,0.0055
22,kmeans,32.8912,0.0014,0.5536,0.0051
24,kmeans,30.2878,0.0013,0.5208,0.0049
26,kmeans,27.9924,0.0012,0.4912,0.0045
28,kmeans,26.1345,0.0012,0.468,0.0044
30,kmeans,24.3926,0.0011,0.4459,0.0041
32,kmeans,22.9684,0.0011,0.4251,0.004
34,kmeans,21.6982,0.001,0.4114,0.0038
36,kmeans,20.5685,0.001,0.3959,0.0037
38,kmeans,19.557,0.0009,0.3839,0.0036
40,kmeans,18.5936,0.0009,0.3704,0.0034
42,kmeans,17.7391,0.0009,0.3579,0.0033
44,kmeans,17.0278,0.0009,0.3506,0.0033
46,kmeans,16.2951,0.0009,0.3467,0.0032
48,kmeans,15.7851,0.0008,0.3433,0.0032
50,kmeans,15.1415,0.0008,0.3342,0.0031
52,kmeans,14.7317,0.0008,0.3282,0.003
54,kmeans,14.0264,0.0008,0.3177,0.0029
56,kmeans,13.7182,0.0008,0.3148,0.0029
58,kmeans,13.1943,0.0008,0.3062,0.0029
60,kmeans,12.9613,0.0007,0.2991,0.0028
62,kmeans,12.6307,0.0007,0.2942,0.0028
64,kmeans,12.4252,0.0007,0.2927,0.0027
66,kmeans,11.9366,0.0007,0.2851,0.0026
68,kmeans,11.6222,0.0007,0.2811,0.0026
70,kmeans,11.2941,0.0007,0.277,0.0026
72,kmeans,11.2167,0.0007,0.2776,0.0026
74,kmeans,10.7613,0.0007,0.267,0.0025
76,kmeans,10.7721,0.0007,0.2692,0.0025
78,kmeans,10.2583,0.0006,0.2603,0.0024
80,kmeans,10.1972,0.0006,0.2612,0.0024
82,kmeans,9.7755,0.0006,0.2542,0.0024
84,kmeans,9.8148,0.0006,0.2575,0.0024
86,kmeans,9.3665,0.0006,0.2492,0.0023
88,kmeans,9.4106,0.0006,0.2512,0.0024
